Genotype,Brood,Total Pupal Cases of Expected Genotype,Total Elcosed Pupal Cases,Half Eclosed Pupal Cases,percent eclosion,
OK371>+,1,0,0,,,
OK371>+,2,35,35,,100,
OK371>+,3,41,41,,100,
OK371>+,4,68,68,,100,
OK371>+,5,115,112,,97.39,
OK371>+,6,116,116,,100,
OK371>+,Total,375,372,,99.2,
OK371>tbph[N493D],1,28,0,,0,
OK371>tbph[N493D],2,45,0,,0,
OK371>tbph[N493D],3,29,0,1,0,
OK371>tbph[N493D],4,5,0,3,0,
OK371>tbph[N493D],5,40,0,2,0,
OK371>tbph[N493D],6,74,0,,0,
OK371>tbph[N493D],Total,221,0,,0,
OK371tbph[N493D]/UAS-lacZ,1,9,0,,0,
OK371tbph[N493D]/UAS-lacZ,2,8,0,,0,
OK371tbph[N493D]/UAS-lacZ,3,12,0,,0,set this cross up again due to low yield (3-7)
OK371tbph[N493D]/UAS-lacZ,4,22,0,,0,
OK371tbph[N493D]/UAS-lacZ,5,17,0,,0,
OK371tbph[N493D]/UAS-lacZ,6,21,0,,0,
OK371tbph[N493D]/UAS-lacZ,7,19,0,,0,
OK371tbph[N493D]/UAS-lacZ,Total,108,0,,0,
OK371>tbph[N493D]/otu-RNAi,1,8,6,1,75,
OK371>tbph[N493D]/otu-RNAi,2,21,18,3,85.71,
OK371>tbph[N493D]/otu-RNAi,3,24,22,2,91.67,
OK371>tbph[N493D]/otu-RNAi,4,19,16,,84.21,
OK371>tbph[N493D]/otu-RNAi,5,21,11,5,52.38,
OK371>tbph[N493D]/otu-RNAi,6,15,11,,73.33,
OK371>tbph[N493D]/otu-RNAi,Total,108,84,,77.78,
OK371>tbph[N493D]/UAS-Hrb27C-RNAi,1,6,1,,16.67,
OK371>tbph[N493D]/UAS-Hrb27C-RNAi,2,4,0,,0,Hrb27C = dDAZAP1
OK371>tbph[N493D]/UAS-Hrb27C-RNAi,3,0,0,,0,
OK371>tbph[N493D]/UAS-Hrb27C-RNAi,4,0,0,,0,
OK371>tbph[N493D]/UAS-Hrb27C-RNAi,5,0,0,,0,
OK371>tbph[N493D]/UAS-Hrb27C-RNAi,6,6,5,,83.33,(set this cross up again due to low yield)
OK371>tbph[N493D]/UAS-Hrb27C-RNAi,7,8,4,,50,
