CELL TYPE,STRESS,GENE,FBGN,Other Notes,,memory,"gametogenesis, sperm egg development",oskar,gurken 
HeLa,Arsenite,CG1703,FBgn0030321,,,,,,
HeLa,Arsenite,ADD1,FBgn0026573,,,,,,
HeLa,Arsenite,Hrb27C,FBgn0004838,,,,,,
HeLa,Arsenite,eIF3a,FBgn0037249,,,,,,
HeLa,Arsenite,eIF4G2,FBgn0260634,,,,,,
HeLa,Arsenite,FUS,FBgn0285954,caz is dFUS,,,,,
HeLa,Arsenite,NOLC1,,,,,,,
HeLa,Arsenite,Slbp,FBgn0041186,,,,,,
HeLa,Arsenite,Rat1,FBgn0031868,,,,,,
HeLa,Heat Shock,maternal expression at 31B,FBgn0004419,,,,,,
HeLa,Heat Shock,Ago1,FBgn0262739,,,,,,
HeLa,Heat Shock,Ago2,FBgn0087035,,,,,,
HeLa,Heat Shock,Sf1,FBgn0025571,,,,,,
HeLa,Arsenite and Heat Shock,salsa,FBgn0051368,Also known as CG31368,,,,,
HeLa,Arsenite and Heat Shock,atx2,FBgn0041188,,,,,,
HeLa,Arsenite and Heat Shock,CG9286,FBgn0038183,,,,,,
HeLa,Arsenite and Heat Shock,btz,FBgn0045862,,,,,,
HeLa,Arsenite and Heat Shock,tra2,FBgn0003742,,,,,,
HeLa,Arsenite and Heat Shock,bel,FBgn0263231,,,,,,
HeLa,Arsenite and Heat Shock,vas,FBgn0283442,,,,,,
HeLa,Arsenite and Heat Shock,drosha,FBgn0026722,,,,,,
HeLa,Arsenite and Heat Shock,eIF3d1,FBgn0040227,,,,,,
HeLa,Arsenite and Heat Shock,eIF3d2,FBgn0037994,,,,,,
HeLa,Arsenite and Heat Shock,eIF3g2,FBgn0038796,,,,,,
HeLa,Arsenite and Heat Shock,eIF3g1,FBgn0029629,,,,,,
HeLa,Arsenite and Heat Shock,eIF3h,FBgn0022023,,,,,,
HeLa,Arsenite and Heat Shock,eIF4B,FBgn0020660,,,,,,
HeLa,Arsenite and Heat Shock,eIF4G1,FBgn0023213,,,,,,
HeLa,Arsenite and Heat Shock,eIF4G2,FBgn0260634,,,,,,
HeLa,Arsenite and Heat Shock,eIF4H1,FBgn0262734,,,,,,
HeLa,Arsenite and Heat Shock,eIF4H2,FBgn0039797,,,,,,
HeLa,Arsenite and Heat Shock,FAM120A,,,,,,,
HeLa,Arsenite and Heat Shock,Fmr1,FBgn0028734,,,,,,
HeLa,Arsenite and Heat Shock,psi,,Dros gene but not in flybase?,,,,,
HeLa,Arsenite and Heat Shock,rin,FBgn0015778,,,,,,
HeLa,Arsenite and Heat Shock,imp,FBgn0285926,,,,,,
HeLa,Arsenite and Heat Shock,und,FBgn0283478,,,,,,
HeLa,Arsenite and Heat Shock,rbp6,FBgn0260943,,,,,,
HeLa,Arsenite and Heat Shock,msi,FBgn0011666,,,,,,
HeLa,Arsenite and Heat Shock,sqd,FBgn0263396,,,,,,
HeLa,Arsenite and Heat Shock,CG31301,FBgn0051301,,,,,,
HeLa,Arsenite and Heat Shock,NUFIP2,,,,,,,
HeLa,Arsenite and Heat Shock,pAbp,FBgn0265297,,,,,,
HeLa,Arsenite and Heat Shock,CG4612,FBgn0035016,,,,,,
HeLa,Arsenite and Heat Shock,mub,FBgn0262737,,,,,,
HeLa,Arsenite and Heat Shock,PRRC2C,,,,,,,
HeLa,Arsenite and Heat Shock,nonA,FBgn0004227,courtship behavior,,,,,
HeLa,Arsenite and Heat Shock,pum,FBgn0003165,,,,,,
HeLa,Arsenite and Heat Shock,CG4119,FBgn0028474,,,,,,
HeLa,Arsenite and Heat Shock,Tudor-SN,FBgn0039229,,,,,,
HeLa,Arsenite and Heat Shock,B52,FBgn0004587,,,,,,
HeLa,Arsenite and Heat Shock,CG34354,FBgn0085383,ortholog to TIA1,,,,,
HeLa,Arsenite and Heat Shock,Rox8,FBgn0005649,,,,,,
HeLa,Arsenite and Heat Shock,CG34354,FBgn0085383,ortholog to TIA1,,,,,
HeLa,Arsenite and Heat Shock,trv,FBgn0085391,ortholog to TIA1,,,,,
HeLa,Arsenite and Heat Shock,lig,FBgn0020279,,,,,,
HeLa,Arsenite and Heat Shock,yps,FBgn0022959,,,,,,
,,ADAR,,,,,,,
,,CG1416,FBgn0032961,,,,,,
,,AKAP9,,,,,,,
,,Ref1,FBgn0010774,,,,,,
,,Ref2,FBgn0032439,,,,,,
,,ANG,,,,,,,
,,APOBEC3G,,,,,,,
,,SPoCK,FBgn0052451,,,,,,
,,Brf,FBgn0038499,,,,,,
,,Calr,FBgn0005585,,,,,,
,,Capr,FBgn0042134,,,,,,
,,CCAR1,,,,,,,
,,Cdc37,FBgn0011573,,,,,,
,,bru1,FBgn0000114,courtship behavior,,,,,
,,bru2,FBgn0262475,,,,,,
,,CNBP,FBgn0034802,,,,,,
