"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0005515","GO:0005515",1,"GO:0005515",0.853,8.7374555518462,946,"protein binding","protein binding"
"GO:0005488","GO:0005488",2,"GO:0005488",0.59,7.52886979620306,0,"binding","binding"
"GO:0005102","GO:0005102",1,"GO:0005515",0.553,6.79333086171443,42,"signaling receptor binding","protein binding"
"GO:0005524","GO:0005524",3,"GO:0005524",0.977,6.79333086171443,641,"ATP binding","ATP binding"
"GO:0097367","GO:0097367",4,"GO:0097367",0.962,6.79333086171443,5,"carbohydrate derivative binding","carbohydrate derivative binding"
"GO:0032559","GO:0032559",3,"GO:0005524",0.97,6.268515078528,0,"adenyl ribonucleotide binding","ATP binding"
"GO:0030554","GO:0030554",3,"GO:0005524",0.969,6.268515078528,0,"adenyl nucleotide binding","ATP binding"
"GO:0035639","GO:0035639",5,"GO:0035639",0.971,6.18443242939759,0,"purine ribonucleoside triphosphate binding","purine ribonucleoside triphosphate binding"
"GO:0032553","GO:0032553",4,"GO:0097367",0.93,5.82787322656249,0,"ribonucleotide binding","carbohydrate derivative binding"
"GO:0032555","GO:0032555",4,"GO:0097367",0.929,5.82787322656249,0,"purine ribonucleotide binding","carbohydrate derivative binding"
"GO:0017076","GO:0017076",3,"GO:0005524",0.928,5.82787322656249,2,"purine nucleotide binding","ATP binding"
"GO:0097108","GO:0097108",6,"GO:0097108",1,5.68417561033435,7,"hedgehog family protein binding","hedgehog family protein binding"
"GO:0043167","GO:0043167",5,"GO:0035639",0.762,5.63626346981255,0,"ion binding","purine ribonucleoside triphosphate binding"
"GO:0000166","GO:0000166",3,"GO:0005524",0.897,5.45307169588492,17,"nucleotide binding","ATP binding"
"GO:1901265","GO:1901265",3,"GO:0005524",0.897,5.31244143159983,0,"nucleoside phosphate binding","ATP binding"
"GO:0043168","GO:0043168",5,"GO:0035639",0.92,5.13073190792821,1,"anion binding","purine ribonucleoside triphosphate binding"
"GO:0003682","GO:0003682",7,"GO:0003682",0.988,5.13073190792821,205,"chromatin binding","chromatin binding"
"GO:0050839","GO:0050839",1,"GO:0005515",0.422,5.05860100055025,36,"cell adhesion molecule binding","protein binding"
"GO:0036094","GO:0036094",8,"GO:0036094",0.958,4.68859776064125,0,"small molecule binding","small molecule binding"
"GO:0004869","GO:0004869",9,"GO:0004869",1,4.62295542467248,7,"cysteine-type endopeptidase inhibitor activity","cysteine-type endopeptidase inhibitor activity"
