"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0009888","GO:0009888",1,"GO:0009888",0.949,3.66571413132782,15,"tissue development","tissue development"
"GO:0032787","GO:0032787",2,"GO:0032787",0.992,3.66571413132782,0,"monocarboxylic acid metabolic process","monocarboxylic acid metabolic process"
"GO:0048856","GO:0048856",1,"GO:0009888",0.548,3.59682113000046,25,"anatomical structure development","tissue development"
"GO:0032502","GO:0032502",1,"GO:0009888",0.515,3.44840550699181,8,"developmental process","tissue development"
"GO:0019752","GO:0019752",2,"GO:0032787",0.914,3.29484936077433,6,"carboxylic acid metabolic process","monocarboxylic acid metabolic process"
"GO:0043436","GO:0043436",2,"GO:0032787",0.914,2.87142254201109,0,"oxoacid metabolic process","monocarboxylic acid metabolic process"
"GO:0006082","GO:0006082",2,"GO:0032787",0.913,2.8542932373403,3,"organic acid metabolic process","monocarboxylic acid metabolic process"
"GO:0060429","GO:0060429",1,"GO:0009888",0.935,2.67438041202163,3,"epithelium development","tissue development"
"GO:0009056","GO:0009056",3,"GO:0009056",0.962,2.67438041202163,1,"catabolic process","catabolic process"
"GO:1901575","GO:1901575",3,"GO:0009056",0.93,2.67438041202163,2,"organic substance catabolic process","catabolic process"
"GO:0006090","GO:0006090",2,"GO:0032787",0.841,2.57284361406283,15,"pyruvate metabolic process","monocarboxylic acid metabolic process"
"GO:0048513","GO:0048513",1,"GO:0009888",0.439,2.48999640203451,6,"animal organ development","tissue development"
"GO:0016053","GO:0016053",2,"GO:0032787",0.81,2.48999640203451,0,"organic acid biosynthetic process","monocarboxylic acid metabolic process"
"GO:0046394","GO:0046394",2,"GO:0032787",0.811,2.37425137103693,0,"carboxylic acid biosynthetic process","monocarboxylic acid metabolic process"
"GO:0006091","GO:0006091",4,"GO:0006091",0.993,2.23154839411301,4,"generation of precursor metabolites and energy","generation of precursor metabolites and energy"
"GO:0030029","GO:0030029",5,"GO:0030029",0.986,2.23154839411301,5,"actin filament-based process","actin filament-based process"
"GO:0030036","GO:0030036",5,"GO:0030029",0.975,1.94201279156495,73,"actin cytoskeleton organization","actin filament-based process"
"GO:1901607","GO:1901607",2,"GO:0032787",0.706,1.92983727022744,0,"alpha-amino acid biosynthetic process","monocarboxylic acid metabolic process"
"GO:0044281","GO:0044281",2,"GO:0032787",0.813,1.92983727022744,0,"small molecule metabolic process","monocarboxylic acid metabolic process"
"GO:0009135","GO:0009135",2,"GO:0032787",0.572,1.92983727022744,0,"purine nucleoside diphosphate metabolic process","monocarboxylic acid metabolic process"
"GO:0009179","GO:0009179",2,"GO:0032787",0.572,1.92983727022744,0,"purine ribonucleoside diphosphate metabolic process","monocarboxylic acid metabolic process"
"GO:0005975","GO:0005975",6,"GO:0005975",0.992,1.91969093471478,91,"carbohydrate metabolic process","carbohydrate metabolic process"
"GO:0046031","GO:0046031",2,"GO:0032787",0.572,1.91969093471478,0,"ADP metabolic process","monocarboxylic acid metabolic process"
"GO:0044283","GO:0044283",2,"GO:0032787",0.696,1.85905570392707,0,"small molecule biosynthetic process","monocarboxylic acid metabolic process"
"GO:0002009","GO:0002009",1,"GO:0009888",0.852,1.85905570392707,16,"morphogenesis of an epithelium","tissue development"
"GO:0005977","GO:0005977",6,"GO:0005975",0.821,1.70187730231964,8,"glycogen metabolic process","carbohydrate metabolic process"
"GO:0006073","GO:0006073",6,"GO:0005975",0.821,1.68342542645087,0,"cellular glucan metabolic process","carbohydrate metabolic process"
"GO:0006112","GO:0006112",4,"GO:0006091",0.836,1.67857653864792,0,"energy reserve metabolic process","generation of precursor metabolites and energy"
"GO:0044042","GO:0044042",6,"GO:0005975",0.821,1.67147068174601,0,"glucan metabolic process","carbohydrate metabolic process"
"GO:0007275","GO:0007275",1,"GO:0009888",0.518,1.62813705196297,38,"multicellular organism development","tissue development"
"GO:0009185","GO:0009185",2,"GO:0032787",0.576,1.6148976650179,0,"ribonucleoside diphosphate metabolic process","monocarboxylic acid metabolic process"
"GO:0002064","GO:0002064",1,"GO:0009888",0.748,1.54448093198434,1,"epithelial cell development","tissue development"
"GO:0030707","GO:0030707",1,"GO:0009888",0.74,1.53533057650589,78,"ovarian follicle cell development","tissue development"
"GO:0008652","GO:0008652",2,"GO:0032787",0.715,1.52792833444154,1,"cellular amino acid biosynthetic process","monocarboxylic acid metabolic process"
