"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0071840","GO:0071840",1,"GO:0071840",0.85,8.7374555518462,0,"cellular component organization or biogenesis","cellular component organization or biogenesis"
"GO:0048856","GO:0048856",2,"GO:0048856",0.792,7.52886979620306,25,"anatomical structure development","anatomical structure development"
"GO:0032502","GO:0032502",2,"GO:0048856",0.75,6.79333086171443,8,"developmental process","anatomical structure development"
"GO:0016043","GO:0016043",1,"GO:0071840",0.841,6.79333086171443,0,"cellular component organization","cellular component organization or biogenesis"
"GO:0032501","GO:0032501",3,"GO:0032501",0.745,6.79333086171443,0,"multicellular organismal process","multicellular organismal process"
"GO:0022008","GO:0022008",4,"GO:0022008",0.958,6.268515078528,17,"neurogenesis","neurogenesis"
"GO:0007275","GO:0007275",2,"GO:0048856",0.73,6.268515078528,38,"multicellular organism development","anatomical structure development"
"GO:0051276","GO:0051276",1,"GO:0071840",0.506,6.18443242939759,52,"chromosome organization","cellular component organization or biogenesis"
"GO:0007399","GO:0007399",4,"GO:0022008",0.893,5.82787322656249,93,"nervous system development","neurogenesis"
"GO:0048731","GO:0048731",4,"GO:0022008",0.778,5.82787322656249,0,"system development","neurogenesis"
"GO:0009987","GO:0009987",5,"GO:0009987",0.357,5.82787322656249,2,"cellular process","cellular process"
"GO:0007049","GO:0007049",6,"GO:0007049",0.962,5.68417561033435,0,"cell cycle","cell cycle"
"GO:0065007","GO:0065007",7,"GO:0065007",0.715,5.63626346981255,0,"biological regulation","biological regulation"
"GO:0030154","GO:0030154",8,"GO:0030154",0.906,5.45307169588492,79,"cell differentiation","cell differentiation"
"GO:0048869","GO:0048869",8,"GO:0030154",0.905,5.31244143159983,0,"cellular developmental process","cell differentiation"
"GO:0007043","GO:0007043",9,"GO:0007043",0.999,5.13073190792821,6,"cell-cell junction assembly","cell-cell junction assembly"
"GO:0048699","GO:0048699",4,"GO:0022008",0.944,5.13073190792821,5,"generation of neurons","neurogenesis"
"GO:0044085","GO:0044085",1,"GO:0071840",0.656,5.05860100055025,0,"cellular component biogenesis","cellular component organization or biogenesis"
"GO:0043297","GO:0043297",9,"GO:0007043",0.975,4.68859776064125,1,"apical junction assembly","cell-cell junction assembly"
"GO:0098813","GO:0098813",10,"GO:0098813",0.993,4.62295542467248,2,"nuclear chromosome segregation","nuclear chromosome segregation"
"GO:0050789","GO:0050789",7,"GO:0065007",0.683,4.61283578632596,0,"regulation of biological process","biological regulation"
"GO:0120192","GO:0120192",9,"GO:0007043",0.963,4.52658784267229,0,"tight junction assembly","cell-cell junction assembly"
"GO:0120193","GO:0120193",9,"GO:0007043",0.91,4.42110797321183,0,"tight junction organization","cell-cell junction assembly"
"GO:0022402","GO:0022402",6,"GO:0007049",0.929,4.41953390811606,0,"cell cycle process","cell cycle"
"GO:0019991","GO:0019991",9,"GO:0007043",0.956,4.41258572427368,38,"septate junction assembly","cell-cell junction assembly"
"GO:0060429","GO:0060429",2,"GO:0048856",0.538,4.32932986008969,3,"epithelium development","anatomical structure development"
"GO:0050794","GO:0050794",7,"GO:0065007",0.637,4.24581344582563,0,"regulation of cellular process","biological regulation"
"GO:0045216","GO:0045216",9,"GO:0007043",0.97,4.20004592460063,6,"cell-cell junction organization","cell-cell junction assembly"
"GO:0009888","GO:0009888",2,"GO:0048856",0.548,4.20004592460063,15,"tissue development","anatomical structure development"
"GO:0001700","GO:0001700",11,"GO:0001700",0.994,4.20004592460063,48,"embryonic development via the syncytial blastoderm","embryonic development via the syncytial blastoderm"
"GO:0007059","GO:0007059",10,"GO:0098813",0.978,4.20004592460063,40,"chromosome segregation","nuclear chromosome segregation"
