,KEGG,GRxWT.C,GRxWT.Df,GRxWT.OE,GR.CxDf,WT.CxDf,GR.CxOE,WT.CxOE,GR.DfxWT.C,GR.OExWT.C
uric acid,C00366,-2.373035725,-2.426664628,-2.141872542,0.009112328,0.06274123,0.449548265,0.218385082,-2.363923397,-1.92348746
deoxyinosine,C05512,5.173468001,5.519838271,4.632029225,0.690084781,0.34371451,0.104496634,0.64593541,5.863552781,5.277964635
b-alanine,C00099,-0.465111387,-0.647706236,-0.709377637,-0.034172122,0.148422727,-0.048519238,0.195747012,-0.499283509,-0.513630625
nicotinamide riboside+,C03150,-1.993444255,-2.418216614,-1.880497574,0.368333047,0.793105406,-0.001935135,-0.114881816,-1.625111208,-1.995379391
guanine,C00242,3.183844452,3.894158124,3.771907334,0.310878455,-0.399435217,0.279065983,-0.3089969,3.494722907,3.462910434
hydroxyphenyllactic acid / HVA,C03672 / C05582,2.347345777,1.597776904,0.962485038,-0.856395416,-0.106826543,-0.678931598,0.705929141,1.490950361,1.66841418
homoserine / threonine / allothreonine,C00263 / C00188 / C05519,1.046798802,1.339385816,0.302316933,0.378818386,0.086231372,-0.410435407,0.334046463,1.425617188,0.636363395
xanthine,C00385,-2.593279832,-3.995745883,-3.305184436,-0.996700396,0.405765656,-0.689566612,0.022337992,-3.589980227,-3.282846444
NMN,C00455,-1.675231428,-1.010389237,-1.037681386,0.477546135,-0.187296056,-0.018549023,-0.656099065,-1.197685293,-1.693780452
deoxycarnitine+,C01181,-1.621720957,-1.972115669,-2.253028789,-0.180607309,0.169787402,-0.671972121,-0.040664289,-1.802328266,-2.293693078
adenine,C00147,1.116548403,0.203212231,0.041986404,-0.578185588,0.335150584,-0.634500274,0.440061725,0.538362815,0.482048129
glycine,C00037,0.412083384,0.409319156,0.078814476,0.031461606,0.034225835,-0.126310064,0.206958844,0.44354499,0.285773319
F1P,C01094,1.216041934,1.770869528,1.822342542,0.202300758,-0.352526836,-0.24909146,-0.855392067,1.418342692,0.966950474
acrylic acid,C00511,0.497761046,0.360585455,0.355942603,-0.167999025,-0.030823434,-0.098115029,0.043703414,0.329762021,0.399646017
glutamine,C00303,0.502352036,0.677930637,0.127325883,0.349675615,0.174097014,-0.164673678,0.210352476,0.852027651,0.337678359
guanosine,C00387,1.373007048,0.445415901,1.09441612,-0.458187524,0.469403624,-0.211955912,0.066635016,0.914819525,1.161051136
phosphorylcholine+,C00588,0.73899612,0.72259136,1.228987481,0.285834758,0.302239518,-0.045153247,-0.535144609,1.024830878,0.693842873
deoxyguanosine,C00330,3.879452472,NA,NA,0.303306723,NA,0.321357071,NA,4.182759195,4.200809543
pyridoxal,C00250,-1.08088784,-0.513483297,-0.860651342,0.520497119,-0.046907424,0.367830326,0.147593827,-0.560390721,-0.713057515
2-HG,C02630,-0.518423914,-0.164072847,-0.247205399,0.288004714,-0.066346354,0.136481583,-0.134736933,-0.230419201,-0.381942331
3-phospho-serine,C01005,-3.068212721,-2.07384412,-2.443820961,0.85085293,-0.143515671,-0.205702311,-0.830094071,-2.217359791,-3.273915032
N-acetylaspartic acid,C01042,-0.774063497,-0.301833783,-0.396314544,0.755419876,0.283190163,0.14643433,-0.231314623,-0.01864362,-0.627629166
D-sedoheptulose-7-phosphate,C05382,-1.040630317,-0.108301853,0.695909028,0.594619452,-0.337709012,0.909718869,-0.826820477,-0.446010866,-0.130911449
2-oxoadipic acid,C00322,-1.438697605,0.01079664,-0.118828724,-0.536702229,-1.986196474,0.539841789,-0.780027092,-1.975399834,-0.898855816
3-hydroxykynurenine,C02794,-1.015086875,-0.971708146,-2.135424837,0.183531468,0.140152739,-0.588184114,0.532153848,-0.831555407,-1.603270989
AICA ribonucleotide,C04677,-1.373366144,-1.112213549,0.396158077,-1.043313327,-1.304465922,0.752583202,-1.016941019,-2.416679471,-0.620782942
citramalic acid,C00815,-0.573132688,-0.40442108,-0.524201108,0.149385249,-0.019326359,0.116287523,0.067355942,-0.42374744,-0.456845166
D-ribose-1/5-phosphate / D-ribulose 5-phosphate,C00620 / C00117 / C00199,-0.780048492,-0.193238533,-0.221844545,0.843707021,0.256897063,0.320158924,-0.238045023,0.063658529,-0.459889568
isonictinic acid ,C07446,-1.284363904,-0.217796745,-1.073258326,0.480637208,-0.585929952,-0.001488647,-0.212594225,-0.803726697,-1.285852551
proline,C16435,-0.222513064,-0.214814234,-0.168204788,0.052879749,0.045180919,0.004937075,-0.049371201,-0.169633315,-0.21757599
pyrroline hydroxycarboxylic acid,C04281,0.45137654,0.636570141,0.062531498,0.36927825,0.184084649,-0.176327352,0.21251769,0.820654789,0.275049187
urea,C00086,1.465176121,0.589075425,0.555671688,-0.991390988,-0.115290292,-0.430793655,0.478710778,0.473785133,1.034382466
NAD+,C00003,-1.251511524,-0.681836372,-0.426662722,0.67893094,0.109255788,0.543799306,-0.281049495,-0.572580584,-0.707712217
"2,3-bisphospho-D-glycerate",C01159-C03339,-1.277588709,-0.298673909,-0.636584095,0.574692513,-0.404222286,0.720333334,0.07932872,-0.702896195,-0.557255375
imidazole-4-acetate,C02835,-0.712787549,-0.395384624,0.093962359,0.205454971,-0.111947954,0.744109429,-0.062640479,-0.507332578,0.03132188
inosine,C00294,0.88805646,0.733813493,0.912859642,0.01927658,0.173519547,-0.046703775,-0.071506957,0.90733304,0.841352685
agmatine,C00179,0.286216085,-0.388001101,0.062789267,0.380778928,1.054996114,0.772001721,0.995428539,0.666995013,1.058217806
cytidine,C00475,-0.767551753,-0.795690481,-0.655776285,-0.125006575,-0.096867846,-0.089435192,-0.20121066,-0.892558327,-0.856986945
mesaconic acid,C01732,-0.394294121,-0.039338264,-0.136512675,0.263725154,-0.091230702,0.136878418,-0.120903028,-0.130568967,-0.257415703
dAMP,C00360,3.652275301,3.559692634,2.874585143,0.581815583,0.674398251,0.248336264,1.026026422,4.234090884,3.900611565
histidine,C00768,-0.812781655,-0.616725052,-0.569241432,0.350925321,0.154868717,0.063146073,-0.18039415,-0.461856335,-0.749635582
N-acetyl-L-glutamic acid,C00624,-0.448629552,-0.204692437,-1.172941068,0.536783233,0.292846118,-0.601151287,0.123160229,0.088153681,-1.049780839
orotic acid,C00295,1.591930928,1.863622311,1.697950304,-0.156179536,-0.42787092,-0.264834243,-0.370853619,1.435751391,1.327096685
vitamin B2,C00255,-0.818467973,-1.237500865,-1.011693183,0.204571938,0.62360483,0.408103053,0.601328263,-0.613896036,-0.410364921
acetoin -,C00466,-0.993373602,-0.050406543,0.134198225,0.838442995,-0.104524064,0.750752828,-0.376818998,-0.154930607,-0.242620774
cysteine,C00736-C00097,1.166240917,0.836152866,1.046857545,-0.34459847,-0.014510419,-0.223506136,-0.104122764,0.821642448,0.942734782
"D-arabinono-1,4-lactone",C00652,-0.257249599,0.21014205,0.237493772,0.703510004,0.236118355,0.431380444,-0.063362927,0.446260405,0.174130845
asparagine,C16438,0.326554851,0.548784503,0.208368839,0.203206996,-0.019022656,-0.3336828,-0.215496787,0.529761848,-0.007127948
creatine,C00300,-0.257605905,0.208910654,-1.522438684,0.49942127,0.032904712,-0.524602149,0.74023063,0.241815365,-0.782208053
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,C04640,-1.636040516,0.383946738,-0.473212187,1.700310973,-0.319676281,0.487630107,-0.675198222,0.064270457,-1.148410409
homogentisic acid,C00544,-0.854180975,0.113227437,0.636900741,0.471085843,-0.496322569,0.612238888,-0.878842829,-0.383095132,-0.241942088
5'-methylthioadenosine,C00170,-0.653755438,0.437796362,-0.992688799,0.503352006,-0.588199794,-0.167701241,0.17123212,-0.150403432,-0.821456679
kynurenine,C01718,0.845377534,0.374267157,-1.821886771,-0.350944805,0.120165572,-0.538976339,2.128287967,0.494432729,0.306401195
L-arginino-succinate,C03406,-0.988349886,-0.235624235,-0.050150698,1.038705761,0.28598011,0.467390756,-0.470808433,0.050355875,-0.520959131
cystathionine,C00542,-0.798247635,-0.385859959,0.029802886,0.059443235,-0.352944441,-0.133435888,-0.961486408,-0.7388044,-0.931683523
F6P / G1P / G6P,C00085 / C00103 / C00092,-0.850308027,-0.146464533,0.366820059,0.492036932,-0.211806562,0.303115731,-0.914012355,-0.358271095,-0.547192296
