Gene name,NBs,GMCs,Hey,Secondary neurons (low Imp),Secondary neurons (high Imp),Secondary motor neurons,Motor neurons,Interneurons,Glia precursors,Midline glia,Subperineurial glia,Cortex glia 1,Cortex glia 2,Astrocytes,Ensheathing glia,Trachea,Twi+,Unannotated
Teh2,2.663814991,1.44074435,5.312841251,1.098541142,1.082997595,1.124210035,5.146444497,94.6320697,1.054814195,1.060818355,1.039457465,1.031551049,1.176740303,1.038045084,1.052801194,1.252202074,1.010667487,1.094437329
Teh3,1.00422942,1.001105816,1.010681233,1,1,1.001698261,1.007491733,1.022314839,1,1,1,1.003890491,1,1,1,1,1,1.002915221
VhaM9.7-c,1.027503215,1.016716261,1.070868059,1.736984401,1.285668686,1.041564267,1.049710864,1.133217047,1.15978552,1.383648068,1.340450868,1.418308343,1.401512123,1.373529014,1.761205593,1.630809005,1.23641965,1.035549039
tipE,2.437879901,1.261237208,4.926230625,1.048113134,1.007274765,1.02752102,5.777639034,69.22382472,1.04032104,1,1.028027665,1.019604405,1.024403855,1.044525192,1.052801194,1.125026599,1,1.075487984
CG43367,1.415222821,1.165278877,1.400789007,1.035872068,1.036906911,1.061187654,1.436191386,1.601300515,1.034170808,1.092600861,1.042334717,1.043637671,1.107905243,1.070852684,1.137276124,1.145288048,1.010667487,1.056866732
Cpr64Ad,1.009693542,1.005763615,1.069604635,1,1.002419065,1.003399405,1.007491733,1.014821773,1,1,1,1,1.012128379,1,1.039345109,1.178468096,1.010667487,1.008771183
ImpL2,1.074385132,1.022576222,1.151166571,2.442053095,1.090876148,1.048657702,1.118464918,2.117769036,1.626143241,1425.10267,2023.589648,1.353737844,6.401514337,11.75628945,2.984422704,6997795.397,2.101748011,1.066136704
CG14997,1.387342906,1.026652891,1.492553,1.073030941,1.007274765,1.013667115,1.404390375,1.493211774,1.280253988,1.971840557,1.488912403,1.434926577,1.335532467,1.526805739,1.548617398,2.631207139,1.303789182,1.020585885
pav,1.187481536,1.077097376,1.11308039,25.29654588,11.53213609,1.462412893,1.148067929,1.052844462,1.046507847,1.060818355,1.086461661,1.015653016,1.849335501,1.373529014,3.810707253,2.846187886,1.993146267,1.069244728
ago,2.515523835,1.586856236,1.790127136,1.581173736,1.195775161,1.141510038,2.467291266,2.079176576,1.099516413,1.229542627,1.120004294,1.150027599,1.894466417,1.258925412,2.557532899,1.783046999,1.223369373,1.094437329
CG1265,1.518661963,1.198454317,2.305980753,3.953108873,1.454267442,1.178911512,1.900064017,19.03499275,1.228203657,1.557068405,1.857409075,1.132303632,1.629453175,1.783821325,1.716472585,2.775944972,1.612030565,1.094437329
CG15011,1.664416876,1.298005029,1.306929747,1.325711366,1.184274167,1.159076263,1.535980625,1.487729455,1.056901063,1.125335583,1.053923586,1.064097567,1.169668589,1.139611326,1.197325661,1.265684849,1.123805735,1.041595548
CG1309,2.071634672,1.433121459,1.957004839,3.125344957,1.887863627,1.34802474,2.157116406,6.796234736,1.15978552,1.42510267,1.397198476,1.30724655,1.562130376,1.382103417,2.557532899,2.027574143,1.480835825,1.104036839
CG11586,2.635061665,1.845863073,1.905145826,4.342652736,2.584532226,1.912067925,3.596795293,3.650062656,1.21132813,1.304321387,1.282458196,1.317437998,2.124345401,1.489268395,2.692573689,2.397976713,1.62922688,1.136647471
VhaM9.7-a,381.1028158,27.27282066,12992.3825,2.222996483,1.372336614,2.34785135,400.7904291,35967524.09,1.487757639,1.060818355,1.344161279,1.302180428,1.590635536,1.575060707,1.609547918,2.557124881,1.160155302,1.769243508
CG1273,1.022559058,1.012902917,1.018766962,1.011817161,1.007274765,1.001698261,1.007491733,1.033658301,1.003960759,1,1.002768032,1.01171694,1,1.077537597,1,1.165914401,1,1
Ctl1,2.614488588,1.596355085,2.327174868,2.470911228,1.556055861,1.482399858,3.775595096,5.31177434,1.698411487,4.124626383,1.543388963,1.468749472,2.959403537,2.217920351,1.85419935,1.764052995,1.434438812,1.173632798
CG11583,2.250020299,1.539182109,2.3285489,4.941713361,3.17375923,1.712393368,2.551567908,3.800775382,1.413235676,1.383648068,1.452328386,1.446113435,1.96423623,2.273823532,4.169766461,3.318411445,2.889545205,1.143284288
srw,1.001810423,1.004874747,1.000295171,1,1,1,1.007491733,1.003685024,1,1,1,1,1,1,1,1,1,1.002915221
CG1316,22.9247044,7.077189173,4.999462935,8.384349775,10.59701699,11.01550524,22.47510777,5.176753765,1.380111463,1.70125428,1.522204457,1.407336581,5.708795718,1.676194164,8.906778875,13.69096652,5.290568041,1.520715738
TfIIEbeta,2.795451429,2.110909512,1.970915631,6.324415701,3.32285215,2.304435094,3.875525797,4.060936495,1.185276687,1.266380173,1.314763198,1.257459765,2.176187619,1.382103417,3.223887574,2.650060653,1.62922688,1.201284899
Hexo1,1.685624877,1.17953194,1.74732524,2.249265989,1.161602967,1.039798418,2.658491844,4.534710022,1.396575367,1.511775071,1.87287591,1.141131205,1.506643392,1.517333621,2.277938,11.01185452,1.792487853,1.091256077
CG15012,9957.883922,107.6859319,1677.095547,54.28675439,10.59701699,18.73528397,153598.0625,1014821.773,5.526997529,14.67799268,12.33776502,16.50205167,218.9344659,31.03786872,156.8666877,212.388884,25.71214146,2.620943437
Fdx2,1.671456395,1.381183915,1.704540326,2.171374303,1.486237253,1.270298175,1.928640203,3.786820856,1.287867681,1.971840557,1.522204457,1.480200017,1.619660847,1.536336988,2.108736651,2.086314829,1.612030565,1.063037714
Claspin,1.006047501,1.001769893,1.003547809,7.455022861,1.120257715,1.011948562,1.003738877,1.018561415,1.044441501,1.193776642,1.065641302,1.064097567,1.384717741,1.266784389,1.977376577,2.049405545,2.079564285,1.0176193
PMP34,17.75333369,3.822234832,5.455849013,3.556480306,4.54906718,2.639478049,40.07904291,30.81895377,1.206549279,1.383648068,1.223587563,1.287099559,1.762273451,1.443641837,2.108736651,1.991704049,1.249609141,1.218897343
CG15014,1.716391645,1.276663981,1.388851235,1.422529313,1.16722975,1.143448619,1.783263659,1.704627117,1.048578282,1.060818355,1.062699715,1.068237429,1.205457303,1.118532606,1.293396983,1.316375664,1.135793919,1.059947732
Cip4,10.20095908,2.912333758,4.205468715,2.746474115,4.129996016,1.867181091,46.18550245,34.66858388,1.15978552,2.030917621,1.551945087,1.868533305,2.012171167,1.416939644,2.429264817,2.389431439,1.75484851,1.451511498
mRpS6,4.281332399,2.00450127,3.484726313,6.399152336,2.654143801,1.83576567,8.907521682,6.623480499,1.204166928,1.343399333,1.472540428,1.440509147,2.367802909,2.302301318,4.011917145,3.74665247,3.316937797,1.197793068
CG33514,1.019481048,1.008434937,1.016964561,1,1.007274765,1.008520193,1.038024145,1.026082093,1,1,1,1,1,1.006242607,1.012946696,1.014382038,1,1
CG11342,1.103934177,1.0482077,1.100991986,1.192698333,1.104134641,1.064795061,1.174064775,1.210785169,1.021979208,1,1.036588156,1.047697934,1.068552369,1.038045084,1.182022377,1.105123598,1.111944086,1.008771183
DopEcR,5.697642662,1.7443124,33.08341679,1.035872068,1.019517168,1.046879827,3.664539851,9.781722442,1.086554468,1.029960366,1.045219932,1.059973749,1.121342338,1.051045753,1.094223771,1.129050008,1,1.160046365
slow,1.006047501,1.004652653,1.008000276,1.035872068,1.004843982,1,1,1,1.146113077,1.971840557,2.645873202,1.101941441,1.006045913,1.197783644,1.039345109,1.696123082,1.077105056,1
Syx17,1.971703383,1.369631162,2.270191786,1.178768635,1.139365773,1.143448619,3.144625137,6.999192261,1.112632986,1.159051048,1.226974492,1.287099559,1.515752427,1.243353424,1.3101422,1.383838061,1.249609141,1.063037714
CG15019,3.953802078,1.902195123,4.955393936,54.92826968,4.902879355,2.212475184,13.18059969,16.01300515,1.802162678,2.091764656,3.994299043,3.358445306,9.080613336,7.325965428,23.07429771,118.2682626,60.08995009,1.349630604
DOR,14.77121017,5.207353591,3.018205335,3.088843596,1.901597391,2.652948464,16.67408993,5.510792485,1.391065691,2.285463864,1.904197036,2.853067016,8601119.346,2.419824022,5.256181957,2.612487755,1.147909986,1.574775721
nAChRbeta1,4.116790674,1.386383751,23.75050807,1.023773966,1.04192967,1.172925558,4.14480451,133.2295739,1.069509261,1,1.048113134,1.043637671,1.176740303,1.132541315,1.166914687,1.117022743,1.032345062,1.133343525
CG15021,1.008476729,1.00199135,1.101642044,1,1.004843982,1.001698261,1.030305372,1.045127629,1,1,1,1,1,1,1,1,1,1
NT1,1.002414626,1,1.000590429,1.035872068,1,1,1,1,1,1,1,1,1,1,1.012946696,1.344875774,1,1.011711974
Tie,1.003019193,1.00243441,1.005623174,1,1.004843982,1.003399405,1.007491733,1.003685024,1.001978422,1,1.005543725,1,5.152783374,1,1,1.149383918,1,1.00583894
CG32243,3.489894148,1.889205316,2.324429236,3.017114811,1.54855469,1.495030192,6.80868448,3.772917565,1.22335823,1.304321387,1.412732785,1.13670885,4.024501021,1.898359143,3.307905336,2.146757287,1.993146267,1.126764414
CG11357,2.533790016,1.759025565,3.046844534,3.393221772,3.120532796,1.683582258,3.086491988,6.221995783,1.182936339,1.603718744,1.577899112,1.114852823,1.590635536,1.182967935,2.658159309,1.534781344,2.412617531,1.160046365
CG42540,1.77319386,1.272156832,31.98885669,1,1.017056842,1.013667115,2.078098488,1100.356837,1.086554468,1,1.051014345,1.035564289,1.107905243,1.111593365,1.066431491,1.105123598,1,1.069244728
Src64B,23.13297424,4.774086411,6.590108906,6.786293728,4.682892258,3.101168927,11.18464918,17.36267409,1.245314285,1.266380173,1.325711366,1.127915487,3.105607715,1.794957021,3.666450365,2.146757287,1.850465983,1.534054214
HDAC1,50.32159359,10.41509977,10.48972026,4094.915062,490.2879355,13.38906297,22.30798233,8.759756072,1.43859953,1.557068405,2.272702643,1.5508025,16.492158,4.263141323,89.06778875,107.0181316,18.11609194,1.693652366
axo,1.012131574,1.008434937,1.015464997,1.011817161,1.009711428,1.010232923,1.038024145,1.037467357,1.91603498,7.017038287,1.173891211,1.252586588,1.012128379,31.82018518,1,1.003576279,1,1.008771183
CG13716,1,1.000221066,1.000295171,1,1,1,1,1.003685024,1.001978422,1,1,1,1,1.025205225,1,1,1,1
RhoGEF64C,1.007261383,1.001105816,1.003844027,1.048113134,1.007274765,1,1.003738877,1.003685024,1.001978422,1,1.008327102,1,1.012128379,1,1.24443457,1.601958137,1,1.00583894
CG12493,1.038715148,1.002877667,1.037579859,1.048113134,1,1,1.065498087,1.014821773,1,1,1,1.01171694,1.006045913,1.006242607,1,1.014382038,1,1.002915221
CR45821,1.001810423,1.000221066,1.002659679,1,1,1,1,1.003685024,1,1,1,1,1,1,1,1,1,1
CG7509,1.001206585,1.001327126,1.003547809,1.023773966,1.009711428,1.008520193,1,1.007383627,1.001978422,1,1.002768032,1,1.006045913,1.006242607,1.026061009,1.021650438,1.032345062,1.00583894
Dhc64C,2.800512379,1.745855341,2.368051711,1.842069969,1.825072696,1.756537122,3.623741522,6.291034179,1.168990976,1.467799268,1.268356376,1.451739526,1.629453175,1.408149122,1.902521656,1.970487315,1.512597932,1.299511195
LeuRS-m,1.127477494,1.081630461,1.132965975,1.264855217,1.131137017,1.055799446,1.209645245,1.342132915,1.021979208,1,1.071548925,1.039593143,1.183854773,1.057607019,1.228529176,1.09335121,1.065736327,1.014661338
CG13707,1.020095908,1.011336877,1.011277969,1.011817161,1.007274765,1.010232923,1.034157557,1.018561415,1.766893204,2.030917621,2.068837075,2.549224563,1.018247619,3.365325118,1,1.043769618,1.21045684,1.02953763
CG32237,1.002414626,1,1.006216924,1,1,1,1.053635604,1.736267409,1,1,1.013916991,1,1,1.018844976,1,1,1,1
Rh50,1.014575493,1.007543709,1.011576469,1,1.009711428,1.008520193,1.015039591,1.014821773,1.01593741,1,1.582266787,6.625945999,1.006045913,1.064209244,1,1.007165348,1.04335759,1.014661338
Con,74.82570177,9.013250551,278.9502712,1.456348478,1.117554278,2.962296957,19358.51151,28950.85151,1.292968614,1,1.213482768,1.119190148,1.220077546,1.828782942,1.182022377,1.928729477,2.169729181,2.458355882
CG15212,1.002414626,1.000884555,1.000295171,1,1.004843982,1,1.003738877,1.007383627,1,1,1,1,1,1,1.012946696,1.066367687,1,1
CG4603,2.159636843,1.694527692,2.869665822,4.143305331,2.208901171,1.546636862,3.818103087,8.049164419,1.270172369,1.42510267,1.530643141,1.544792498,1.940698701,1.614760466,2.798513294,2.049405545,1.419298464,1.156674404
CG10674,4.959866856,2.38326278,5.426942776,4.445894816,1.981330742,2.320129143,16.79900775,77.29989673,1.893447287,2.571913809,3.237457543,3.255723804,4.969756135,4.858324135,7.438894164,8.246678614,3.352321189,1.247615927
CG4611,1.231968585,1.103851436,1.230203417,1.310228189,1.093515048,1.092244391,1.363081678,1.51534382,1.017947364,1.092600861,1.025189907,1.051773994,1.134942403,1.051045753,1.137276124,1.145288048,1.123805735,1.026545025
Prpk,3.808731072,1.889205316,2.300542707,3.393221772,1.515244395,1.411219907,8.74285268,6.267936682,1.252720191,1.266380173,1.573543493,1.480200017,2.560807678,1.817437394,2.798513294,3.179256599,3.534981105,1.160046365
CHMP2B,1.808827801,1.326429201,1.845379191,2.0716984,1.349321452,1.217538442,17.76621091,82.28780224,1.499566277,4.506570338,2.780850689,2.660466786,1.772928002,2.511886432,1.878205106,2.485128427,2.014408129,1.107255351
CG10672,2.067890914,1.285442073,1.96278903,1.77827941,1.204474144,1.126119237,2.35923648,3.232843376,1.22577855,1.383648068,1.440334573,1.257459765,1.295881963,1.526805739,1.344285828,1.630809005,1.480835825,1.056866732
Gdap1,1.00422942,1.002877667,1.004140333,1,1,1.003399405,1.038024145,1.018561415,1.021979208,1,1.008327102,1,1,1.018844976,1,1,1,1.002915221
CR45985,1.02998425,1.013574819,1.036967603,1.023773966,1.012153986,1.011948562,1.045800744,1.029863231,1.003960759,1.029960366,1.002768032,1.01171694,1.030597312,1.006242607,1.026061009,1.025304145,1.010667487,1
Fitm,1.18963138,1.098253757,1.262571809,1.637893707,1.139365773,1.133788522,1.182860555,2.048809586,1.114834244,1.304321387,1.203461421,1.186312177,1.319528723,1.23563981,1.344285828,1.212609399,1.160155302,1.026545025
AlaRS-m,1.388179627,1.136282255,1.313891018,1.235482888,1.096160332,1.075691027,1.547487781,1.698368588,1.065289904,1.125335583,1.062699715,1.047697934,1.148707414,1.132541315,1.24443457,1.203982446,1.100207635,1.035549039
Gen,1.070505487,1.026425984,1.026008567,1.908148828,1.507939961,1.097818594,1.069481853,1.045127629,1.009931331,1.029960366,1.033726768,1.003890491,1.094629166,1.025205225,1.327104213,1.230049194,1.172531244,1.0176193
Srp54k,5.34167428,2.265127418,3.544889206,7.722449946,2.75210005,1.82025673,11.10147986,20.11473785,1.493650288,1.858791891,1.816785778,1.776554008,3.105607715,2.450130345,4.928757264,7.985931513,3.11234375,1.20478691
shep,1.83188E+31,1.57324E+11,2.98102E+25,291.2632655,4.220787564,68.72911499,1.03802E+26,1.07634E+32,674.814723,1304321387,45.73662412,2989.15242,2.9953E+16,177275.4713,265.8159309,1847.849797,9.38318395,457.0083621
lama,1.007261383,1.002212856,1.004436726,1.151395399,1.049509463,1.018840303,1.01125862,1.018561415,1.090858049,2.091764656,1.355354247,1.110532307,1.062130819,1.22797405,1.548617398,1.311684714,1.111944086,1.008771183
Klp64D,6.819085037,1.903036235,4.918966654,1.389495494,1.219113306,1.190975223,11.31057289,35.83546952,1.125906032,1.193776642,1.138734737,1.163502404,1.31159891,1.220355848,1.361689888,1.340083263,1.111944086,1.11696729
Cyt-c1,29.35362161,3.566730761,85.09220385,109.8541142,10.59701699,3.952800878,226.4348527,23217.45949,2.362601949,6.812920691,7.276872706,2.908999698,9.135513933,8.720483015,23.98215846,18.67746062,17.36326272,1.455742975
Uev1A,4888.612914,52.28113568,387.3061071,28117.68698,615.3002526,32.96511021,753049.1779,929075.7363,4.199290947,6.812920691,9.727364683,6.448274362,151.5752427,34.07473072,613.3515925,1475.680193,112.3805735,2.745903108
Membrin,1.438449888,1.226323822,1.409081686,2.096179992,1.355857541,1.209302648,1.972312326,3.428812761,1.305809513,1.603718744,1.271867227,1.593532322,1.34360698,1.480029154,1.415265724,1.388787052,1.147909986,1.056866732
Pfdn4,19.50420737,4.199639939,20.77834098,38.61310214,7.949042068,3.074969591,85.81227833,365.0062656,2.00118645,5.223345074,3.842676758,6.86159306,6.677399032,10.31605178,10.66431491,15.84893192,4.757944314,1.418099489
DIP-delta,2.803891435,2.178698717,5.100809062,1,1.017056842,1.029266018,1.363081678,1.201910708,1.038266909,1,1.045219932,1.031551049,1.075012744,1.025205225,1.066431491,1.121017528,1.010667487,1.229588514
blanks,1.062788175,1.003986665,1.16380587,1.011817161,1,1.011948562,1.045800744,1.233259056,1.003960759,1.029960366,1,1,1.030597312,1.006242607,1.026061009,1.007165348,1,1.002915221
CG34342,1.002414626,1.00044218,1.008000276,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lkr,1.087419114,1.023028384,1.358447346,1,1.002419065,1.001698261,1.041905189,1.43400122,1.005947017,1,1.366640421,1.003890491,1.006045913,1,1,1.007165348,1,1
CG13285,1.002414626,1,1.004733207,1,1,1,1.01125862,1.007383627,1,1,1.013916991,1,1,1,1,1,1,1
frm,1.028122913,1.002656014,1.062368815,1,1,1.001698261,1.026467537,1.210785169,1,1,1.051014345,1.003890491,1,1,1.122740346,1.534781344,1,1
sinu,1.315652322,1.160908327,1.177626131,1.221053503,1.142121973,1.084856123,1.441561129,1.352042724,1.061087193,1.804721767,1.206792641,1.039593143,1.288094257,1.190352739,2.108736651,12.79312797,1.135793919,1.069244728
Sucb,2.402857075,1.488327388,2.231004183,1.736984401,1.409299014,1.172925558,2.18140256,3.220974009,1.622932395,2.571913809,2.349353558,1.56289274,2.367802909,4.184288508,3.960639944,4.827484969,3.534981105,1.100827683
Sras,1.477121017,1.188692706,1.362864579,1.405915386,1.125684223,1.105295141,1.600346183,1.841516943,1.117039857,1.343399333,1.203461421,1.446113435,1.280353352,1.331448352,1.379319273,1.344875774,1.223369373,1.041595548
bc10,2.692882068,1.534087223,2.486954144,2.357485225,1.713949025,1.314147363,3.596795293,8.792035983,1.162080066,1.603718744,1.230370797,1.287099559,1.838221773,1.416939644,2.136037823,1.847849797,1.465205761,1.081767694
Msr-110,1.102603791,1.06196735,1.100017618,1.422529313,1.072581299,1.064795061,1.085566423,1.150013333,129.0415627,68129206906,1.87287591,3573.713479,1.107905243,1331.448352,2.028909006,33.78175209,1.065736327,1.069244728
l(3)psg2,2.983538216,1.846271129,2.031747701,2.714397642,2.357804922,1.697926704,2.580295042,2.229681403,1.077998175,1.511775071,1.129330685,1.114852823,1.860516423,1.161087274,2.055176674,1.84126492,1.331753857,1.183926946
CG10591,1.001206585,1.002656014,1.002068028,1.011817161,1.002419065,1,1.003738877,1,1,1,1,1,1,1,1,1.003576279,1,1.002915221
TM9SF3,4.558387145,2.040713733,2.515001935,3.514943653,1.856202672,1.613657454,3.963283191,3.378733934,1.208936343,1.914481976,1.448319392,1.322563479,2.367802909,1.498565312,2.429264817,2.216850643,1.830934513,1.20478691
Eaf6,1.911997413,1.604136912,1.452144188,3.314424749,3.046039788,1.732854007,2.189558555,1.762001971,1.054814195,1.029960366,1.180398942,1.101941441,1.581076485,1.243353424,3.438055231,1.881129112,1.62922688,1.078623269
Blimp-1,1.021942713,1.013350802,1.053004304,1,1,1,1.01125862,1.037467357,1.001978422,1,1.002768032,1.01171694,1,1.006242607,1,1.070181316,1,1.011711974
lin-28,1.001206585,1,1.002955635,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sif,1.316445805,1.0728204,4.148761626,1.011817161,1.012153986,1.013667115,1.530259174,16.01300515,1.034170808,1,1.025189907,1.015653016,1.049403258,1.006242607,1.012946696,1.036343853,1,1.041595548
Sse,1.012131574,1.005985954,1.005326431,1.422529313,1.544817675,1.141510038,1.018834699,1.007383627,1.019961293,1.092600861,1.036588156,1.007796118,1.212745393,1.097843767,1.197325661,1.161759625,1.088595061,1.002915221
DnaJ-1,22.39193615,5.75322929,13.40525432,50.00110381,15.1890987,4.280950066,29.62353984,29.27208611,3.209502869,146779.9268,9.488353934,4.951905452,124.2341056,44.25332894,53.24232146,52.78136532,11.97680597,1.369417995
Usp47,3.811028158,2.178217188,2.158465398,4.047089951,2.738833191,1.795714494,3.215832018,2.884455862,1.178269498,1.70125428,1.436358686,1.252586588,2.339429423,1.382103417,2.220080463,2.177632032,2.101748011,1.229588514
CG10576,21.60939343,6.105691492,10.53626028,9319.395762,478.583837,14.30507212,159.4384974,30.14624517,2.065482212,2.810075242,3.666280511,2.509936486,32.00630961,9.165626636,813.9814826,8217.291288,1249.609141,1.800416339
Txl,6.240715069,2.851185273,7.903995894,94.29524558,17.60112385,3.268661394,15.07585701,38.71323153,1.874827751,1.914481976,3.536872854,3.000781691,4.405336197,4.828183681,13.101422,10.18009751,4.658035188,1.288212052
Ppat-Dpck,1.265088693,1.146880307,1.229840404,1.151395399,1.128407326,1.103421244,1.288874694,1.692133038,1.077998175,1.304321387,1.095508739,1.13670885,1.155652399,1.139611326,1.27686579,1.191156959,1.135793919,1.020585885
CR45831,1.003624124,1.000884555,1.004140333,1,1,1.001698261,1.01125862,1.003685024,1,1.029960366,1,1,1,1.006242607,1,1,1,1
scny,2.887964018,1.736618125,2.593392431,2.947051703,2.049497671,1.396925278,3.350592067,4.060936495,1.141591508,1.511775071,1.34788196,1.218999065,1.952431996,1.470847232,1.830500418,2.027574143,1.512597932,1.18048557
vito,1.515003796,1.31475308,1.532276331,2.811768698,2.504614084,1.430507212,1.763410094,2.498984591,1.086554468,1.159051048,1.167419359,1.168029,1.60025238,1.348123657,2.277938,1.956468537,1.681924325,1.107255351
Myt1,1.249925134,1.112424434,1.185297105,1.490971657,1.230952637,1.079347737,1.279290591,1.237803645,1.042379234,1.092600861,1.104631153,1.097670962,1.257408639,1.175628945,1.260545886,1.230049194,1.111944086,1.020585885
Pmi,1,1,1.000590429,1.011817161,1,1,1,1,1.003960759,1,1,1.003890491,1,1.012524185,1,1,1,1
Cralbp,1.003624124,1.001548485,1.001181207,1.011817161,1.009711428,1,1,1,1.011929402,1.060818355,1.016723545,1.019604405,1.006045913,1.006242607,1.122740346,1.221298167,1,1
Bre1,2.521597884,1.712223787,1.94491346,3.16227766,3.135648601,1.712393368,2.718690725,2.435462627,1.063186472,1.229542627,1.089469022,1.13670885,1.772928002,1.258925412,2.337303362,1.942549494,1.561523006,1.13996105
Tektin-C,1.921242077,1.262911029,1.481143997,1.035872068,1.06741078,1.068414731,1.630488223,1.377138551,1.054814195,1.125335583,1.019537869,1.031551049,1.148707414,1.064209244,1.152000093,1.055008148,1.010667487,1.011711974
S6k,19.86020675,3.319489702,41.14619302,9.10298178,4.998569677,2.478860154,38.61089659,140.2700191,1.45001799,2.571913809,1.806769544,1.56289274,8.000946405,2.16339158,5.605357959,6.898579761,3.807546021,1.401683014
CG42272,1.000603111,1.00044218,1,1,1,1.001698261,1,1,1,1,1,1,1,1,1,1.261174537,1,1.002915221
kri,4.317624093,1.995659286,8.315575965,3.771643294,2.246578048,1.689305437,12.74525298,86.00125569,1.185276687,1.193776642,1.941400987,1.317437998,3.399488783,1.624840782,3.265626266,4.932002134,3.424224356,1.156674404
mad2,2.043104837,1.397459882,1.605892549,1490.971657,31.89132863,2.478860154,2.078098488,1.868811488,1.189971282,1.266380173,1.404944161,1.154501772,4.326389884,2.16339158,8.906778875,4.94964035,2.769467757,1.170221344
vn,1.139780329,1.01245523,1.230929765,1.192698333,1.017056842,1.001698261,3.239924172,11.04411679,1.017947364,1.467799268,1.028027665,1.003890491,2.024336578,1.051045753,1.197325661,1.529312098,1.223369373,1
CG13287,1.209155972,1.14434803,1.187397848,1.023773966,1.161602967,1.459933546,1.717940443,1.520927898,1.017947364,1,1.002768032,1,1.006045913,1,1.137276124,1.014382038,1,1.035549039
DNApol-epsilon58,1.006047501,1.002212856,1.002955635,3.684058608,1.158799755,1.046879827,1.007491733,1.01109586,1.028056936,1.029960366,1.059766249,1.027553362,1.121342338,1.097843767,1.344285828,1.383838061,1.185039206,1.026545025
CG32409,1.667430175,1.269067401,1.702529286,8.483428982,3.437173613,1.562463478,1.979686559,2.583096168,1.192325548,1.511775071,1.282458196,1.252586588,1.805279717,1.995262315,4.116471753,3.488475353,2.571214146,1.113720549
QC,1.020711139,1.014247167,1.024193354,1.011817161,1.014602452,1.022303755,1.018834699,1.026082093,1.101691721,1.125335583,5.769051844,17.83465676,1.012128379,1.23563981,1.122740346,1.529312098,1.303789182,1.023561118
CG13288,1.03746336,1.003099368,1.265929845,1,1,1,1.057575017,1.270088155,1,1,1.002768032,1,1,1,1.052801194,1.021650438,1,1
CG10483,1.4401855,1.176667448,1.812989477,1.023773966,1.009711428,1.02752102,2.001975097,5.888003387,1.019961293,1.029960366,1.123104502,1.003890491,1.024403855,1.038045084,1.039345109,1.040050108,1.010667487,1.03253896
CG32407,1.009693542,1.007543709,1.017865363,1.011817161,1.009711428,1.001698261,1.007491733,1.022314839,1.578640578,1.75222448,1.704875529,2.712623655,1.012128379,1.545927736,1.012946696,1.010767252,1.010667487,1.00583894
CG33523,2.075385208,1.398696013,1.803383877,1.863838006,1.125684223,1.159076263,2.141076036,2.905753609,1.26516137,1.75222448,1.293137356,1.327708901,4.458765783,1.545927736,1.361689888,1.751502868,1.480835825,1.066136704
Rcc1,1.596594223,1.327602501,1.687521922,127980.2214,14.2298532,1.774511632,2.001975097,2.141267506,1.208936343,1.343399333,1.293137356,1.396449694,3.420041796,2.032862985,13.44285828,15.13021019,5.698497586,1.314731036
CG33993,1.07697937,1.014247167,1.031169159,1.085711119,1.002419065,1.005103439,1.10601274,1.022314839,1.013931426,1,1.005543725,1,1,1.084264241,1.182022377,1.684056233,1.065736327,1.0176193
CG10479,1.02688389,1.076859319,1.007108205,1.011817161,1.122967691,1.68644142,1.081522743,1.007383627,1.061087193,1.159051048,1.008327102,1.007796118,1.006045913,1.018844976,1.166914687,1.021650438,1.100207635,1.03253896
PVRAP,2.527686599,1.292279445,5.088780153,1,1.009711428,1.025778979,3.06354076,2.498984591,1.036216835,1,1.030873278,1.023571167,1.036828213,1.044525192,1.108390354,1.109075829,1.02144877,1.130049182
Jon65Aiii,1.00422942,1,1.009488817,1,1,1,1.015039591,1.01109586,1,1,1,1,1,1,1,1.003576279,1,1
tant,2.928291433,1.776216975,1.808714021,3.125344957,2.46260974,1.520614614,2.376911249,1.834755823,1.101691721,1.092600861,1.107688807,1.163502404,1.581076485,1.197783644,2.002977071,1.636641233,1.331753857,1.094437329
CG10472,1.023175774,1.019191366,1.015165349,1.023773966,1.017056842,1.025778979,1.015039591,1.022314839,1.003960759,1.029960366,1,1,1.006045913,1,1.039345109,1.018009751,1.010667487,1.002915221
CG13295,1.098622248,1.055881655,1.080710336,1.073030941,1.093515048,1.048657702,1.126844158,1.274768461,1.052731448,1.193776642,1.098541142,1.055865912,1.169668589,1.104697175,1.108390354,1.058781152,1.065736327,1.014661338
CG6610,8.441517574,3.483362371,3.723980807,120.6792641,17.015705,3.656003748,11.31057289,5.214976986,1.413235676,1.193776642,1.604287179,1.643809939,3.976275248,2.809626877,9.746009169,12.16946029,5.124805877,1.361468462
ssp6,1.840733157,1.409870509,1.368911237,1.023773966,1.019517168,1.094099307,2.165181598,1.601300515,1.028056936,1.029960366,1.019537869,1.019604405,1.049403258,1.018844976,1.039345109,1.070181316,1.010667487,1.072361812
CG13293,14.15222821,4.17834338,4.345517746,1.77827941,3.529750159,4.19466349,15.41723467,14.18264357,1.106055256,1.029960366,1.059766249,1.043637671,1.155652399,1.091032877,2.028909006,1.238862924,1.077105056,1.511887914
