"","category","term","ontology"
"GO:0022402","GO:0022402","cell cycle process","BP"
"GO:0007049","GO:0007049","cell cycle","BP"
"GO:0000278","GO:0000278","mitotic cell cycle","BP"
"GO:0051321","GO:0051321","meiotic cell cycle","BP"
"GO:0000280","GO:0000280","nuclear division","BP"
"GO:1903047","GO:1903047","mitotic cell cycle process","BP"
"GO:1903046","GO:1903046","meiotic cell cycle process","BP"
"GO:0048285","GO:0048285","organelle fission","BP"
"GO:0051726","GO:0051726","regulation of cell cycle","BP"
"GO:0008152","GO:0008152","metabolic process","BP"
"GO:0005622","GO:0005622","intracellular anatomical structure","CC"
"GO:0051276","GO:0051276","chromosome organization","BP"
"GO:0022412","GO:0022412","cellular process involved in reproduction in multicellular organism","BP"
"GO:0071704","GO:0071704","organic substance metabolic process","BP"
"GO:0006260","GO:0006260","DNA replication","BP"
"GO:0140640","GO:0140640","catalytic activity, acting on a nucleic acid","MF"
"GO:0006259","GO:0006259","DNA metabolic process","BP"
"GO:0007346","GO:0007346","regulation of mitotic cell cycle","BP"
"GO:0009987","GO:0009987","cellular process","BP"
"GO:0140013","GO:0140013","meiotic nuclear division","BP"
"GO:0003824","GO:0003824","catalytic activity","MF"
"GO:0005694","GO:0005694","chromosome","CC"
"GO:0140014","GO:0140014","mitotic nuclear division","BP"
"GO:0006807","GO:0006807","nitrogen compound metabolic process","BP"
"GO:0044238","GO:0044238","primary metabolic process","BP"
"GO:0007059","GO:0007059","chromosome segregation","BP"
"GO:0044237","GO:0044237","cellular metabolic process","BP"
"GO:0098813","GO:0098813","nuclear chromosome segregation","BP"
"GO:1901564","GO:1901564","organonitrogen compound metabolic process","BP"
"GO:0010948","GO:0010948","negative regulation of cell cycle process","BP"
"GO:0045786","GO:0045786","negative regulation of cell cycle","BP"
"GO:0010564","GO:0010564","regulation of cell cycle process","BP"
"GO:0043226","GO:0043226","organelle","CC"
"GO:0007292","GO:0007292","female gamete generation","BP"
"GO:0043229","GO:0043229","intracellular organelle","CC"
"GO:0005737","GO:0005737","cytoplasm","CC"
"GO:0007276","GO:0007276","gamete generation","BP"
"GO:0007143","GO:0007143","female meiotic nuclear division","BP"
"GO:0061982","GO:0061982","meiosis I cell cycle process","BP"
"GO:0006974","GO:0006974","DNA damage response","BP"
"GO:0048609","GO:0048609","multicellular organismal reproductive process","BP"
"GO:0043231","GO:0043231","intracellular membrane-bounded organelle","CC"
"GO:0006261","GO:0006261","DNA-templated DNA replication","BP"
"GO:0043227","GO:0043227","membrane-bounded organelle","CC"
"GO:1901988","GO:1901988","negative regulation of cell cycle phase transition","BP"
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","BP"
"GO:0007098","GO:0007098","centrosome cycle","BP"
"GO:0045930","GO:0045930","negative regulation of mitotic cell cycle","BP"
"GO:0034587","GO:0034587","piRNA processing","BP"
"GO:0031023","GO:0031023","microtubule organizing center organization","BP"
"GO:0006399","GO:0006399","tRNA metabolic process","BP"
"GO:0043039","GO:0043039","tRNA aminoacylation","BP"
"GO:0019538","GO:0019538","protein metabolic process","BP"
"GO:0006281","GO:0006281","DNA repair","BP"
"GO:0051233","GO:0051233","spindle midzone","CC"
"GO:0006270","GO:0006270","DNA replication initiation","BP"
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","BP"
"GO:0043170","GO:0043170","macromolecule metabolic process","BP"
"GO:0000819","GO:0000819","sister chromatid segregation","BP"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","MF"
"GO:0016787","GO:0016787","hydrolase activity","MF"
"GO:0022414","GO:0022414","reproductive process","BP"
"GO:0000775","GO:0000775","chromosome, centromeric region","CC"
"GO:0000075","GO:0000075","cell cycle checkpoint signaling","BP"
"GO:0007281","GO:0007281","germ cell development","BP"
"GO:0032993","GO:0032993","protein-DNA complex","CC"
"GO:0006996","GO:0006996","organelle organization","BP"
"GO:0043038","GO:0043038","amino acid activation","BP"
"GO:0007051","GO:0007051","spindle organization","BP"
"GO:0016874","GO:0016874","ligase activity","MF"
"GO:0005524","GO:0005524","ATP binding","MF"
"GO:0006793","GO:0006793","phosphorus metabolic process","BP"
"GO:0032559","GO:0032559","adenyl ribonucleotide binding","MF"
"GO:0048477","GO:0048477","oogenesis","BP"
"GO:0004812","GO:0004812","aminoacyl-tRNA ligase activity","MF"
"GO:0006418","GO:0006418","tRNA aminoacylation for protein translation","BP"
"GO:0016875","GO:0016875","ligase activity, forming carbon-oxygen bonds","MF"
"GO:0044770","GO:0044770","cell cycle phase transition","BP"
"GO:0000793","GO:0000793","condensed chromosome","CC"
"GO:0045132","GO:0045132","meiotic chromosome segregation","BP"
"GO:0006796","GO:0006796","phosphate-containing compound metabolic process","BP"
"GO:0110165","GO:0110165","cellular anatomical entity","CC"
"GO:0140101","GO:0140101","catalytic activity, acting on a tRNA","MF"
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA","MF"
"GO:0007052","GO:0007052","mitotic spindle organization","BP"
"GO:0019637","GO:0019637","organophosphate metabolic process","BP"
"GO:0030554","GO:0030554","adenyl nucleotide binding","MF"
"GO:0046483","GO:0046483","heterocycle metabolic process","BP"
"GO:0007099","GO:0007099","centriole replication","BP"
"GO:0030261","GO:0030261","chromosome condensation","BP"
"GO:0032504","GO:0032504","multicellular organism reproduction","BP"
"GO:0007093","GO:0007093","mitotic cell cycle checkpoint signaling","BP"
"GO:0007076","GO:0007076","mitotic chromosome condensation","BP"
"GO:0019953","GO:0019953","sexual reproduction","BP"
"GO:0044786","GO:0044786","cell cycle DNA replication","BP"
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","CC"
"GO:0032991","GO:0032991","protein-containing complex","CC"
"GO:0051301","GO:0051301","cell division","BP"
"GO:0070918","GO:0070918","regulatory ncRNA processing","BP"
"GO:0098534","GO:0098534","centriole assembly","BP"
"GO:0000785","GO:0000785","chromatin","CC"
"GO:0006275","GO:0006275","regulation of DNA replication","BP"
"GO:0000166","GO:0000166","nucleotide binding","MF"
"GO:1901265","GO:1901265","nucleoside phosphate binding","MF"
"GO:0005657","GO:0005657","replication fork","CC"
"GO:0031967","GO:0031967","organelle envelope","CC"
"GO:0031975","GO:0031975","envelope","CC"
"GO:0043186","GO:0043186","P granule","CC"
"GO:0072686","GO:0072686","mitotic spindle","CC"
"GO:0031570","GO:0031570","DNA integrity checkpoint signaling","BP"
"GO:0006119","GO:0006119","oxidative phosphorylation","BP"
"GO:0006310","GO:0006310","DNA recombination","BP"
"GO:0006139","GO:0006139","nucleobase-containing compound metabolic process","BP"
"GO:0005819","GO:0005819","spindle","CC"
"GO:1901360","GO:1901360","organic cyclic compound metabolic process","BP"
"GO:0043596","GO:0043596","nuclear replication fork","CC"
"GO:0003006","GO:0003006","developmental process involved in reproduction","BP"
"GO:1901991","GO:1901991","negative regulation of mitotic cell cycle phase transition","BP"
"GO:0035639","GO:0035639","purine ribonucleoside triphosphate binding","MF"
"GO:1901135","GO:1901135","carbohydrate derivative metabolic process","BP"
"GO:0034641","GO:0034641","cellular nitrogen compound metabolic process","BP"
"GO:1901566","GO:1901566","organonitrogen compound biosynthetic process","BP"
"GO:0045448","GO:0045448","mitotic cell cycle, embryonic","BP"
"GO:0030717","GO:0030717","oocyte karyosome formation","BP"
"GO:0061988","GO:0061988","karyosome formation","BP"
"GO:0050000","GO:0050000","chromosome localization","BP"
"GO:0007277","GO:0007277","pole cell development","BP"
"GO:0006725","GO:0006725","cellular aromatic compound metabolic process","BP"
"GO:0051052","GO:0051052","regulation of DNA metabolic process","BP"
"GO:0032555","GO:0032555","purine ribonucleotide binding","MF"
"GO:0051303","GO:0051303","establishment of chromosome localization","BP"
"GO:0051310","GO:0051310","metaphase chromosome alignment","BP"
"GO:0022900","GO:0022900","electron transport chain","BP"
"GO:0017076","GO:0017076","purine nucleotide binding","MF"
"GO:1901137","GO:1901137","carbohydrate derivative biosynthetic process","BP"
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","BP"
"GO:0060293","GO:0060293","germ plasm","CC"
"GO:0000228","GO:0000228","nuclear chromosome","CC"
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process","BP"
"GO:1902494","GO:1902494","catalytic complex","CC"
"GO:0046467","GO:0046467","membrane lipid biosynthetic process","BP"
"GO:0006643","GO:0006643","membrane lipid metabolic process","BP"
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","BP"
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","BP"
"GO:0032553","GO:0032553","ribonucleotide binding","MF"
"GO:0140535","GO:0140535","intracellular protein-containing complex","CC"
"GO:0051445","GO:0051445","regulation of meiotic cell cycle","BP"
"GO:0140657","GO:0140657","ATP-dependent activity","MF"
"GO:0044774","GO:0044774","mitotic DNA integrity checkpoint signaling","BP"
"GO:0009794","GO:0009794","regulation of mitotic cell cycle, embryonic","BP"
"GO:0000779","GO:0000779","condensed chromosome, centromeric region","CC"
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","BP"
"GO:0022904","GO:0022904","respiratory electron transport chain","BP"
"GO:0051298","GO:0051298","centrosome duplication","BP"
"GO:0051382","GO:0051382","kinetochore assembly","BP"
"GO:0061640","GO:0061640","cytoskeleton-dependent cytokinesis","BP"
"GO:0005814","GO:0005814","centriole","CC"
"GO:0019646","GO:0019646","aerobic electron transport chain","BP"
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","BP"
"GO:0007144","GO:0007144","female meiosis I","BP"
"GO:0007127","GO:0007127","meiosis I","BP"
"GO:0036094","GO:0036094","small molecule binding","MF"
"GO:0006298","GO:0006298","mismatch repair","BP"
"GO:0000776","GO:0000776","kinetochore","CC"
"GO:0003688","GO:0003688","DNA replication origin binding","MF"
"GO:0043168","GO:0043168","anion binding","MF"
"GO:0033260","GO:0033260","nuclear DNA replication","BP"
"GO:0051783","GO:0051783","regulation of nuclear division","BP"
"GO:0033206","GO:0033206","meiotic cytokinesis","BP"
