"","KEGG","GRxWT.C","GRxWT.Df","GRxWT.OE","GR.CxDf","WT.CxDf","GR.CxOE","WT.CxOE"
"1,3-bisphospho-D-glycerate","C00236",NA,NA,NA,NA,NA,NA,NA
"1-methylnicotinamide+","C02918",NA,NA,NA,NA,NA,NA,NA
"1-phenylethylamine","C02455",NA,NA,NA,NA,NA,NA,NA
"2- / 3-phosphoglycerate","C00631 / C00197",0.88980549062358,1,0.461100574060777,0.48789034246705,1,1,1
"2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine","C04640",0.456076156278459,0.612375139156702,0.980028968509384,0.268236859524114,1,1,1
"2,3-bisphospho-D-glycerate","C01159-C03339",0.256569536575546,0.946660089089006,0.538142453582342,0.642771116274553,1,1,1
"2-aminobutanoate / 2-/3-aminoisobutanoate","C02261 / C03665 / C05145",0.999722510370514,1,1,0.231486518613068,0.903828081219236,1,1
"2-HG","C02630",0.196605335272971,0.544947856413233,0.42184051950159,0.622823103844455,1,1,1
"2-hydroxybutanoic acid","C05984",0.498705690285589,0.503076541694282,0.467191419488528,1,1,1,0.780473034768907
"2-keto-3-deoxy-d-gluconic acid","C01216",0.590932580472265,0.998957940819118,1,1,1,1,1
"2-keto-isovaleric acid","C00141",0.883854175025903,0.0130443849934425,0.727633097940643,0.64060836047531,1,1,1
"2-ketovaleric acid","C06255",NA,NA,NA,NA,NA,NA,NA
"2-oxoadipic acid","C00322",0.23467476600167,1,0.959504900797413,0.547783802868647,0.401671937026833,1,0.780473034768907
"2-oxobutanoic acid","C00109",NA,NA,NA,NA,NA,NA,NA
"3- / 4-hydroxyphenylacetic acid","C05593 / C00642",0.522633542845769,1,1,0.607535802028335,1,1,1
"3- / 7-methylguanine","C02230 / C02242",0.88980549062358,0.0130443849934425,0.656607227211969,0.835831285612493,1,1,1
"3,4-dihydroxymandelic acid","C05580",NA,NA,NA,NA,NA,NA,NA
"3,4-dihydroxyphenylpropanoate","C10447",NA,NA,NA,NA,NA,NA,NA
"3-hydroxy-anthranilic acid","C00632",1,0.417725493955237,0.704619791736855,1,0.903828081219236,1,1
"3-hydroxybutanoic acid","C01089",NA,NA,NA,NA,NA,NA,NA
"3-hydroxykynurenine","C02794",0.23467476600167,0.0566126916041372,0.152416097915566,1,1,1,1
"3-hydroxypropanoic acid","C01013",1,0.530123656611879,1,1,1,1,1
"3-methoxytyramine","C05587",1,0.946660089089006,0.737908098716658,1,1,1,1
"3-phosphohydroxypyruvic acid","C03232",0.889423310475015,0.271018898180182,0.0780797408847369,0.441730599418448,1,1,0.761476082551923
"3-phospho-serine","C01005",0.196605335272971,0.000873673501005462,0.0103043524696956,0.231486518613068,1,1,0.897115635944242
"3-ureidopropionic acid","C02642",1,1,0.126465614319503,1,1,1,0.761476082551923
"4-hydroxybutanoic acid","C00989",1,0.136465032007176,0.329443216002698,1,0.788471172834186,1,1
