,id,connector,color.background,color.border,x,y,size,FC,pval,title,label,KEGG,Pathway,data.id,data.KEGG,shape
xanthine,xanthine,metabolite,white,black,-75,750,0,NA,NA,,xanthine,C00385,Purine,xanthine,C00385,circle
hypoxanthine,hypoxanthine,metabolite,white,black,75,750,0,NA,NA,,hypoxanthine,C00262,Purine,hypoxanthine,C00262,circle
xanthosine,xanthosine,metabolite,white,black,-75,600,0,NA,NA,,xanthosine,C01762,Purine,xanthosine,C01762,circle
guanine,guanine,metabolite,white,black,-225,675,0,NA,NA,,guanine,C00242,Purine,guanine,C00242,circle
XMP,XMP,metabolite,white,black,-75,450,0,NA,NA,,XMP,C00655,Purine,XMP,C00655,circle
IMP,IMP,metabolite,white,black,75,450,0,NA,NA,,IMP,C00130,Purine,IMP,C00130,circle
IDP,IDP,metabolite,white,black,-75,337.5,0,NA,NA,,IDP,C00104,Purine,IDP,C00104,circle
AMP,AMP,metabolite,white,black,375,450,0,NA,NA,,AMP,C00020,Purine,AMP,C00020 / C00362,circle
adenosine,adenosine,metabolite,white,black,225,525,0,NA,NA,,adenosine,C00212,Purine,adenosine,C00212,circle
deoxyadenosine,deoxyadenosine,metabolite,white,black,375,750,0,NA,NA,,deoxyadenosine,C00559,Purine,deoxyadenosine,C00559,circle
adenylosuccinate,adenylosuccinate,metabolite,white,black,225,337.5,0,NA,NA,,adenylosuccinate,C03794,Purine,adenylosuccinate,C03794,circle
cAMP,cAMP,metabolite,white,black,487.5,337.5,0,NA,NA,,cAMP,C00575,Purine,cAMP,C02353 / C00575,circle
ATP,ATP,metabolite,white,black,600,423.75,0,NA,NA,,ATP,C00002,Purine,ATP,C00002 / C00286,circle
ADP,ADP,metabolite,white,black,487.5,525,0,NA,NA,,ADP,C00008,Purine,NA,NA,circle
dATP,dATP,metabolite,white,black,637.5,675,0,NA,NA,,dATP,C00131,Purine,dATP,C00131,circle
dADP,dADP,metabolite,white,black,525,600,0,NA,NA,,dADP,C00206,Purine,dADP,C00206,circle
