Gene name,MN.C0,MN.C1,MN.C2,MN.C3,MN.C4,MN.C5,MN.C6,MN.C7,MN.C8,MN.C9,MN.C10,MN.C11,MN.C12,MN.C13,MN.C14,MN.C15,MN.C16,MN.C17,MN.C18,MN.C19,MN.C20,MN.C21,MN.C22,MN.C23,MN.C24,MN.C25,MN.C26,MN.C27
Myo81F,10,5.97469568,10.69019205,10.36632928,8.030857221,6.855917356,3.414548874,32.90344562,6.158482111,3.72759372,19.85511196,4.270067916,6.640827851,7.19685673,3.528735021,16.78804018,7.498942093,1.132541315,2.682695795,2.912632655,3.913745602,4.641588834,5.878016072,13.33521432,5.108969775,3.792690191,1.668100537,3.16227766
CR46123,1,1,1,1,1,1,1,1,1,1,1.05021108,1,1,1.056354104,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Parp,26.6072506,10.30760802,17.63505472,10.74607828,13.89495494,12.07722655,17.11328304,18.87391822,10.84145869,23.29951811,5.554958913,19.16940777,6.309573445,6.812920691,19.30697729,25.11886432,17.7827941,1.452653926,9.210553177,29.12632655,5.994842503,3.913745602,6.422325422,21.5443469,16.15598098,3.359818286,2.15443469,10
Alg-2,35.48133892,33.59818286,21.5443469,37.85515249,299.3577295,38.91920267,32.85993248,148.7352107,48.32930239,132.5711366,58.33879398,42.70067916,8.576958986,46.41588834,29.93577295,39.81071706,47.3151259,21.10203429,47.70582696,47.70582696,39.13745602,19.78318883,20.30917621,42.16965034,51.08969775,3.359818286,11.36463666,5.011872336
Tim17b,17782.7941,738.6199822,967.1798643,283.8735965,5372.281118,92.72847442,241.7315481,1547.587355,4281.332399,6551.285569,583.3879398,258.847204,95.01185073,268.2695795,415.9562163,794.3282347,944.0608763,27.0665207,92.10553177,24709.11228,118.5971012,91.82542836,53.79838403,1333.521432,1615.598098,10,5.274997064,15.84893192
CG41128,57323.58369,441302.9617,44892.51258,212875.1662,268269.5795,1972795.039,4298.662347,2212216.291,39490.3723,494171.3361,6434.438263,11052951.41,3782.489906,11158.83993,203950.0469,59566.21435,334965.4392,32622.2201,7196.85673,477058.2696,303027.1083,197.8318883,109260.0861,1211527.659,56234.13252,78.47599704,359.3813664,3162.27766
CG41099,5.623413252,4.832930239,5.670523941,4.067944321,7.742636827,5.068950297,8.576958986,9.236708572,5.239601353,3.393221772,6.126804781,7.785819799,2.643761186,3.528735021,5.179474679,6.683439176,8.413951416,1.452653926,5.179474679,11.78768635,7.742636827,3.300034791,3.775053205,3.83118685,4.216965034,1.832980711,1.668100537,3.16227766
CG42402,52.07948329,3.909356383,2.083725851,4.216965034,28.86140441,6.855917356,5.623413252,3.856620421,1.832980711,1.526417967,17.14125253,2.721338768,16.68100537,2.275845926,13.89495494,10,2.66072506,1.365007807,1.279802214,1.178768635,5.994842503,1.406527242,1.42510267,19.57341781,2.371373706,3.792690191,1.291549665,1.584893192
Gfat1,1.019373486,1.062467831,1.033933849,1.036632928,1.075835899,1.038468775,1,1,1.084145869,1.206792641,1,1,1.107756851,1.056354104,1.31536905,1.059253725,1.059253725,1,1,1,1,1.089022962,1,1.100694171,1.333521432,1.274274986,1,1
CG12581,1,1,1,1,1,1.038468775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.333521432,1,1,1
beta-Man,1,1,1,1,1,1,1.039122304,1.04049831,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.100694171,1,1,1
CG14636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.089022962,1,1,1,1,1,1
aux,1.467799268,1.313472706,1.492495545,1.333521432,1.494869134,2.209338675,1.467799268,1.487352107,1.32680475,1.325711366,1.479833198,1.162030136,1.291549665,1.178768635,1.467799268,1.496235656,1.883649089,1.132541315,1.279802214,1.637893707,1.406527242,1.406527242,1.193776642,1.615598098,1.467799268,1.128837892,1.467799268,2.511886432
DhpD,1,1.062467831,1.033933849,1.074607828,1,1,1,1.04049831,1.084145869,1,1,1.105295141,1.052500285,1,1.056354104,1,1.258925412,1,1,1,1.089022962,1,1,1,1,1.274274986,1,2.511886432
CG14641,4.823178482,1.832980711,2.813684268,2.458244069,5.372281118,2.209338675,2.417315481,4.344412299,3.94903723,2.120950888,3.753773682,2.721338768,1.668100537,2.993577295,2.275845926,3.981071706,2.985382619,1.205260937,4.393970561,7.813707377,2.782559402,2.55509709,2.424462017,2.610157216,5.623413252,2.069138081,1.668100537,2.511886432
abs,1.554771842,1.163561851,1.069019205,1.286396945,1.245197085,1.119902793,1.165914401,1.32035178,1.084145869,1.048113134,1.216483949,1.350314038,1.107756851,1,1.31536905,1.412537545,1.258925412,1.064209244,1.389495494,1.389495494,1.089022962,1.089022962,1,1.211527659,1.211527659,1,1.136463666,1.258925412
Gel,1.122018454,1.274274986,1.221677349,1.240937761,1.55051578,1.078417397,1.525222957,1.610262028,1.175372265,1,1.158323286,1.221677349,1.107756851,1.930697729,1.178768635,1.188502227,1.188502227,1.205260937,2.275845926,1.178768635,1.406527242,1.978318883,1.193776642,1.467799268,1.211527659,1.274274986,1,1.258925412
CG14642,1.059253725,1.128837892,1.14280206,1.240937761,1.075835899,1.162984082,1.039122304,1.21957046,1.128837892,1.206792641,1.05021108,1,1,1.115883993,1.056354104,1.258925412,1.059253725,1.064209244,1,1.085711119,1,1,1.092600861,1.100694171,1.100694171,1.274274986,1,1.584893192
CG34305,1.039122304,1.030760802,1,1,1.037225095,1,1.039122304,1.126481692,1,1,1,1,1,1.056354104,1.056354104,1.059253725,1,1,1,1,1,1,1.092600861,1,1,1.128837892,1,1
TwdlU,1,1,1,1.036632928,1,1,1,1.04049831,1,1,1.05021108,1,1,1,1,1,1,1,1,1,1,1,1,1.100694171,1.100694171,1,1,1
TwdlG,1,1.128837892,1,1,1,1,1,1,1,1,1,1.221677349,1.107756851,1,1,1.059253725,1,1,1,1,1,1,1,1,1,1,1,1
TwdlV,1,1,1,1,1,1,1,1,1,1,1,1.051330177,1.505836354,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CG1092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CG9766,1,1.062467831,1.033933849,1.036632928,1,1.038468775,1,1.04049831,1.041223256,1,1,1.105295141,1,1,1.056354104,1,1.059253725,1,1,1,1,1,1,1.100694171,1,1,1,1
cpx,7356422545,2.00739E+19,9.6718E+22,1.65482E+25,1E+16,6.12189E+30,4.64159E+16,1.67547E+33,1.49775E+17,1.52642E+23,6.75752E+17,2.86103E+30,34145488738,76024.29141,1.7302E+19,7.94328E+22,4.46684E+28,88.29699955,3727593720,4.04709E+30,8.43191E+13,77426.36827,1.55707E+20,6.18966E+22,4.21697E+14,1128837.892,6812.920691,1.99526E+23
CG9780,1.019373486,1,1,1,1,1,1.039122304,1,1,1,1,1,1,1.056354104,1,1.059253725,1,1.064209244,1,1,1,1,1,1,1,1,1,1
Vps24,94.40608763,36.79505646,40.61585988,46.97588817,322.0597919,36.08918289,46.41588834,57.3615251,33.59818286,79.06043211,20.85205857,49.61947603,3.414548874,299.3577295,9.466522603,70.79457844,44.66835922,2.70665207,43.93970561,1000,21.5443469,505.4796821,26.48969288,26.10157216,51.08969775,18.32980711,6.812920691,7.943282347
MP1,1.079775162,1.030760802,1,1.11397386,1.115883993,1,1,1.04049831,1,1.59985872,1,1,1,1.056354104,1.056354104,1,1,1,1.085711119,1.085711119,1,1,1,1,1.100694171,1,1,1
CR46140,1.039122304,1,1,1,1,1,1,1,1.041223256,1,1.05021108,1,1,1,1.056354104,1,1.122018454,1,1.085711119,1.178768635,1,1,1,1,1,1,1,1
Suv3,1.283315186,1.438449888,1.885221217,1.485508017,1.930697729,1.514704337,1.308177474,1.743328822,1.381499962,1.048113134,1.632172129,1.916940777,1.165914401,1.178768635,1.31536905,1.188502227,1.333521432,1.064209244,1.085711119,1.637893707,1.668100537,1.185971012,1.304321387,1.333521432,1,1,1.668100537,1.584893192
Syt14,2.818382931,2.00738918,1.763505472,2.206734069,3.340484984,1.458594012,1.995262315,2.807216204,2.532262782,1.757510625,2.663985857,1.569105606,1.584893192,2.404099184,1.637893707,1.584893192,2.238721139,1.064209244,2.470911228,1.637893707,2.346228848,1.816599788,2.424462017,1.615598098,1.615598098,2.069138081,1.291549665,6.309573445
CG9795,3.83118685,2.132786428,2.721338768,2.2875732,3.340484984,3.608918289,2.073321573,3.56224789,1.987218465,1.59985872,2.189906295,2.58847204,1.755676291,2.404099184,2.15443469,2.66072506,2.238721139,1.064209244,2.470911228,2.470911228,2.15443469,2.782559402,1.858791891,1.957341781,2.15443469,2.335721469,1.136463666,1.995262315
CG9776,1.744482699,1.832980711,2.381286195,2.548296748,2.317818181,2.209338675,1.711328304,2.126112334,1.832980711,1.456348478,1.632172129,1.916940777,2.267543126,1.389495494,2.275845926,2.238721139,1.678804018,1.064209244,1.77827941,2.096179992,2.782559402,1.978318883,1.193776642,2.15443469,2.15443469,3.359818286,2.15443469,1.258925412
Skp2,1.211527659,1,1.069019205,1,1.075835899,1.038468775,1.039122304,1.268961003,1.084145869,1.098541142,1,1.051330177,1,1.178768635,1,1.122018454,1.188502227,1.132541315,1.085711119,1.085711119,1.089022962,1.406527242,1.092600861,1.100694171,1,1,1,1.258925412
CG1103,3.83118685,1.395522497,3.437414337,1.19708503,3.105013495,1.761577033,1.646897865,1.373823796,2.335721469,1.930697729,1.277564921,2.015337686,1.584893192,1.637893707,1.930697729,2.371373706,1.995262315,1.365007807,1.508590709,1.178768635,1.668100537,1.668100537,1.557068405,1.467799268,2.610157216,1.274274986,1.291549665,1.995262315
hkb,3.480700588,1.163561851,15.43141664,1.11397386,2.493592005,1.696321618,1.711328304,1,5.455594781,1,1.05021108,1.649648074,1.052500285,1,1,31.6227766,18.83649089,1.205260937,1,1.085711119,4.262158829,1,1,1.211527659,2.371373706,1,1,1
CG1090,6.812920691,71.65774841,47.99095809,504.8065717,288.6140441,266.8268371,82.54041853,385.6620421,117.5372265,5.428675439,21.89906295,128.4386264,7.742636827,21.5443469,14.67799268,501.1872336,668.3439176,1.863246312,40.47089951,343.3320018,59.94842503,10.89022962,13.04321387,237.1373706,14.67799268,29.76351442,7.742636827,63.09573445
CR44922,11.00694171,131.3472706,30.07882518,64.93816316,21.5443469,135.2531975,32.85993248,67.23357536,215.443469,15.26417967,3.085756853,33.24597932,9.501185073,11.15883993,41.59562163,13.33521432,375.8374043,6.468607662,6.105402297,477.0582696,71.09709432,3.593813664,13.04321387,1333.521432,9.085175757,18.32980711,5.274997064,5.011872336
Sfxn1-3,4.216965034,6.158482111,17.63505472,15.96338544,28.86140441,22.94329228,7.356422545,16.10262028,2.532262782,2.559547923,17.14125253,49.61947603,3.244226079,8.483428982,8.030857221,33.49654392,23.71373706,3.471686819,4.047089951,2.682695795,14.06527242,23.46228848,13.04321387,6.812920691,21.5443469,6.158482111,2.15443469,2.511886432
Cont,1.333521432,1.48269776,1.305996548,1.382372227,1.339627725,1.458594012,1.165914401,1.547587355,1.175372265,1.151395399,1.409081686,1.221677349,1.107756851,1.637893707,1.55051578,1.883649089,1.584893192,1,1.279802214,1.178768635,1.291549665,1.089022962,1.70125428,1.467799268,1.100694171,1.438449888,1.291549665,1
tub,2.11348904,2.801356761,1.94919403,2.458244069,3.866353752,2.770913387,1.995262315,2.807216204,3.099046339,2.222996483,2.189906295,2.341883126,2.15443469,2.039500469,3.16227766,1.496235656,3.548133892,1.132541315,2.096179992,2.682695795,2.15443469,2.55509709,2.218982341,2.610157216,2.610157216,2.335721469,1.291549665,3.16227766
CG14646,1.412537545,1.128837892,1.263133564,1.154781985,1.608233878,1.207722655,1.122018454,1.268961003,1.32680475,1.206792641,1.102943312,1.162030136,1.359356391,1.31536905,1.245197085,1.258925412,1.059253725,1.064209244,1.178768635,1.085711119,1.089022962,1.406527242,1.092600861,1.100694171,1.615598098,1.128837892,1,1
CG34112,1,1.030760802,1.033933849,1,1,1,1,1.04049831,1.084145869,1,1,1.105295141,1.107756851,1.056354104,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CG9855,3.905410294,2.717756395,2.381286195,2.2875732,4.010279139,2.127496491,2.511886432,2.301807313,1.690714103,1.676832937,1.985511196,2.118785326,1.505836354,1.930697729,2.15443469,2.238721139,2.66072506,1.365007807,2.275845926,2.912632655,1.816599788,2.55509709,2.218982341,1.957341781,2.872984833,1.128837892,1.467799268,1.584893192
CG9853,3.102177665,2.976351442,4.061585988,2.2875732,4.641588834,2.988201202,2.712272579,6.461670787,2.335721469,1.930697729,2.797747463,2.462092401,1.668100537,2.539580038,1.827699369,3.981071706,4.216965034,1.205260937,2.275845926,6.105402297,1.978318883,2.55509709,3.16227766,4.641588834,2.15443469,1.832980711,1.668100537,3.16227766
CG14647,2.712272579,1.94748304,2.015337686,1.980956779,4.010279139,2.382589263,1.412537545,2.043359718,2.335721469,2.442053095,1.985511196,3.16227766,1.505836354,1.637893707,2.275845926,2.371373706,2.818382931,1.282649831,2.096179992,3.16227766,1.406527242,1.978318883,1.304321387,1.957341781,2.872984833,1.623776739,1.467799268,1.258925412
CR45187,1.143755863,1.236247035,1.105295141,1.036632928,1.200508058,1.119902793,1.039122304,1.04049831,1,1.048113134,1.05021108,1.419625896,1,1,1,1.122018454,1.059253725,1,1,1.178768635,1,1,1.304321387,1,1,1,1,1.584893192
lost,1744.482699,8337.822235,20153.37686,39241.89758,346483.4856,130242.9122,292864.4565,1547587.355,349832.0936,30888.43596,5289.373747,100000,81.49127469,46415.88834,19306.97729,50118.72336,56234.13252,2.880444153,4770582.696,40470899.51,18165.99788,1291.549665,587.8016072,562341.3252,82540.41853,4281.332399,244.8436747,19952.62315
CG32944,9.440608763,4.153565396,13.96135391,8.659643234,40.10279139,11.62984082,5.843414134,15.47587355,2.745342234,3.237457543,5.833879398,11.05295141,2.511886432,35.28735021,8.961505019,28.18382931,11.22018454,2.245697996,7.813707377,5.179474679,3.913745602,5.994842503,8.376776401,4.216965034,5.623413252,2.069138081,1.291549665,79.43282347
srl,1.584893192,2.335721469,2.303132059,2.2875732,2.404099184,2.048686048,1.711328304,2.212216291,2.432007513,1.264855217,2.536619456,2.58847204,1.847849797,1.389495494,2.039500469,1.258925412,3.16227766,1.205260937,1.930697729,2.275845926,1.668100537,1.185971012,1.304321387,2.15443469,2.15443469,2.976351442,1.467799268,1.995262315
eIF3a,6.812920691,9.131167633,9.671798643,8.659643234,17.30195739,8.929346422,5.207948329,10.82636734,11.28837892,6.551285569,9.521895354,10.51330177,3.981071706,10,6.812920691,7.943282347,14.12537545,1.365007807,9.210553177,10.85711119,8.431909293,5.504789808,4.124626383,6.812920691,34.80700588,4.281332399,3.16227766,6.309573445
CG1074,1.234999173,1.48269776,1.305996548,1.240937761,1.55051578,1.162984082,1.359356391,1.813930694,1.084145869,1.048113134,1.216483949,1.350314038,1.291549665,1.115883993,1.178768635,1.188502227,1.188502227,1,1.279802214,1.508590709,1.406527242,1.291549665,1.092600861,1.211527659,1.77827941,1.623776739,1,1.995262315
CG9804,1.678804018,1.889364668,1.649648074,1.43301257,1.79460244,1.514704337,2.417315481,2.807216204,1.623776739,2.120950888,2.415342501,1.734324802,1.584893192,2.15443469,1.55051578,2.371373706,2.511886432,1.064209244,2.096179992,2.682695795,2.15443469,2.346228848,1.858791891,2.610157216,1.467799268,1.832980711,1.291549665,3.981071706
CG14650,2.282092971,2.198392649,2.909163406,2.053525026,2.077113926,2.209338675,1.920141939,1.813930694,1.497747476,1.389495494,1.479833198,1.916940777,1.668100537,1.31536905,1.637893707,1.995262315,1.883649089,1.064209244,1.930697729,2.096179992,1.978318883,1.978318883,1.304321387,3.16227766,2.15443469,2.335721469,1.668100537,1.258925412
CG31522,2.11348904,9.701571869,8.75042175,10.74607828,2.886140441,13.52531975,2.610157216,12.68961003,5.239601353,7.906043211,3.240696036,11.62030136,6.309573445,6.812920691,12.45197085,14.12537545,14.12537545,1.205260937,12.79802214,12.79802214,9.182542836,2.782559402,3.455107295,7.498942093,6.189658189,29.76351442,1.895735652,3.16227766
CR43629,1,1.095150193,1.105295141,1.074607828,1.037225095,1.207722655,1.039122304,1.082636734,1.084145869,1,1.102943312,1.105295141,1.052500285,1.056354104,1.178768635,1.122018454,1.412537545,1,1,1.085711119,1.185971012,1,1.092600861,1,1.100694171,1.128837892,1,1
CG31523,2.872984833,1.77827941,5.484416576,3.05052789,4.993587893,2.877507031,3.414548874,4.012807032,1.908542144,1.930697729,2.536619456,2.58847204,3.593813664,3.72759372,2.539580038,2.66072506,5.308844442,1.064209244,15.08590709,4.393970561,3.030271083,3.030271083,1.42510267,2.610157216,1.957341781,11.28837892,1.291549665,1.995262315
Fip1,3.758374043,2.717756395,2.813684268,2.206734069,5.779692884,4.041637673,2.610157216,4.175318937,2.335721469,1.930697729,1.714125253,3.007882518,1.755676291,2.682695795,2.993577295,2.11348904,2.511886432,1.064209244,3.72759372,4.393970561,1.978318883,1.531740464,1.557068405,1.77827941,2.15443469,1.623776739,1.136463666,1.584893192
CG34357,5.516538668,2.976351442,3.324597932,6.731703824,2.234633727,1.761577033,7.079457844,5.298316906,1.760410844,11.51395399,2.536619456,6.061898993,2.782559402,1.637893707,4.903161412,3.548133892,5.623413252,1.205260937,1.508590709,1.930697729,2.782559402,2.55509709,1.858791891,2.371373706,2.15443469,5.455594781,1.291549665,1
CR45558,1,1,1.033933849,1,1,1,1.039122304,1,1.041223256,1,1,1.105295141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CR44317,1.165914401,1.128837892,1.069019205,1,1.037225095,1,1.079775162,1,1.041223256,1.098541142,1.05021108,1.162030136,1.052500285,1.056354104,1.056354104,1.188502227,1.059253725,1.064209244,1,1,1,1,1.092600861,1,1,1.128837892,1,1.258925412
5-HT2A,3.223542002,4.153565396,2.015337686,1.11397386,2.077113926,1.078417397,1.359356391,1.04049831,1.128837892,1.59985872,1.479833198,2.341883126,1.22712524,1.827699369,1,1.412537545,2.238721139,1,1.279802214,1.085711119,1.816599788,1.089022962,1,1,1,1.274274986,2.15443469,1.258925412
CG9775,8.097171416,3.909356383,6.927550656,3.924189758,31.05013495,7.393540548,8.254041853,8.877197089,2.85851418,2.222996483,7.096820648,5.76593265,3.414548874,7.19685673,4.159562163,10.59253725,6.309573445,1.205260937,4.047089951,10,6.528521141,4.641588834,7.666822075,6.189658189,16.15598098,6.951927962,3.16227766,5.011872336
slx1,1.385691863,1.313472706,1.492495545,1.382372227,1.200508058,1.038468775,1.258925412,1.487352107,1.223824937,1.048113134,1.05021108,1.105295141,1.052500285,1.115883993,1.31536905,1.258925412,1.188502227,1.064209244,1.178768635,1.178768635,1.089022962,1,1.092600861,1.211527659,1.211527659,1,1.136463666,1.584893192
MED31,4.381942422,2.801356761,5.30441728,2.206734069,6.689548787,2.668268371,2.712272579,4.344412299,3.94903723,2.811768698,3.240696036,3.863282989,3.08239924,2.275845926,2.833876712,5.623413252,3.548133892,2.110203429,2.912632655,4.770582696,2.55509709,3.913745602,4.506570338,1.957341781,11.00694171,2.069138081,1.467799268,1.995262315
Dlip2,1.385691863,1.163561851,1.443511639,1.286396945,2.002568136,1.404562223,1.211527659,1.429461338,1.32680475,1,1.102943312,1.221677349,1.107756851,1.389495494,1.115883993,1.584893192,1.584893192,1.205260937,2.096179992,1.930697729,1.185971012,1.978318883,1.193776642,1.467799268,1.77827941,1.623776739,1.291549665,1.258925412
rpk,1,1.062467831,1,1,1,1,1,1,1,1,1,1,1,1.056354104,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karybeta3,16.15598098,10.62467831,11.05295141,9.305720409,8.329806648,7.973322752,8.912509381,15.47587355,8.858667904,8.685113738,5.554958913,11.62030136,3.08239924,3.16227766,6.812920691,6.309573445,11.88502227,1.750827032,10,19.30697729,7.109709432,2.782559402,2.030917621,4.216965034,6.189658189,6.951927962,3.16227766,3.981071706
spartin,1.100694171,1.128837892,1.14280206,1.074607828,1.115883993,1.207722655,1,1.268961003,1.32680475,1.048113134,1.554137221,1.105295141,1.052500285,1,1.056354104,1.122018454,1,1,1.085711119,1,1.185971012,1.185971012,1,1.467799268,1,1,1,1
CG43427,2.15443469,2.26601697,2.227542952,2.548296748,2.886140441,1.761577033,1.525222957,1.963828002,2.432007513,2.023589648,2.189906295,2.462092401,3.244226079,2.15443469,2.275845926,1.678804018,1.584893192,1.205260937,2.096179992,1.930697729,1.291549665,1.978318883,1.858791891,1.957341781,2.15443469,2.335721469,1.291549665,1.584893192
eIF3f1,1615.598098,859.4300333,1263.133564,673.1703824,55722.64796,2048.686048,630.9573445,3290.344562,117.5372265,95.40954763,414.0199576,5484.416576,30.8239924,517.9474679,4903.161412,23713.73706,595.6621435,6.88395207,1279.802214,3433.320018,84.31909293,652.8521141,170.125428,1467.799268,6189.658189,483.2930239,8.799225436,251.1886432
Nep2,1,1.030760802,1.033933849,1.036632928,1,1.078417397,1,1,1,1.757510625,1,1,1,1.056354104,1,1,1,1,1,1,1,1,1.092600861,1,1,1,1,1
tacc,473.151259,91.31167633,74.05684692,198.0956779,3105.013495,71.19656099,125.8925412,221.2216291,215.443469,17.57510625,26.63985857,67.00187504,6.989473207,64.49466771,28.33876712,118.8502227,84.13951416,1.863246312,66.28703162,848.3428982,23.46228848,23.46228848,22.18982341,195.7341781,82.54041853,69.51927962,5.274997064,10
atms,1.77827941,1.623776739,1.763505472,2.2875732,1.441219597,1.633483508,2.073321573,2.301807313,2.069138081,1.151395399,1.985511196,2.227542952,1.430722989,1.730195739,1.637893707,3.349654392,1.77827941,1.205260937,1.77827941,2.470911228,1.978318883,1.978318883,1.304321387,2.371373706,3.480700588,1.274274986,1.895735652,1
CG44098,3.616873614,6.951927962,7.916819159,15.39926526,3.593813664,9.272847442,6.309573445,6.461670787,11.28837892,1.842069969,5.554958913,27.21338768,5.695810811,8.030857221,2.275845926,5.308844442,5.623413252,1.282649831,1.508590709,5.179474679,5.994842503,1,3.455107295,19.57341781,3.16227766,1.438449888,1.136463666,1
CG14655,1,1.030760802,1,1,1,1,1,1,1.041223256,1,1,1,1,1,1.056354104,1,1,1,1,1,1,1,1,1,1,1,1,1
ctrip,39.05410294,21.32786428,9.047357242,5.829415347,10.37225095,8.598569967,12.58925412,10.4049831,13.81499962,152.6417967,4.795689579,5.76593265,11.65914401,8.030857221,5.179474679,4.73151259,10,1.064209244,16.37893707,5.179474679,5.994842503,10,2.894266125,6.189658189,4.641588834,61.58482111,21.5443469,6.309573445
Hus1-like,1.812730881,1.199353946,1.105295141,1.074607828,1.55051578,1.078417397,1.079775162,1.082636734,1.041223256,1.389495494,1.102943312,1.162030136,1.052500285,1.115883993,1.245197085,1.188502227,1.059253725,1,1.178768635,1.178768635,1,1.668100537,1,1.615598098,1.100694171,1,1.136463666,1.258925412
CG1129,3.223542002,2.26601697,2.015337686,2.64164832,2.886140441,2.294329228,2.818382931,3.039195382,2.335721469,1.526417967,2.938225384,1.823348001,1.668100537,3.16227766,2.275845926,3.548133892,2.11348904,1.132541315,2.912632655,1.77827941,1.978318883,1.978318883,1.858791891,2.371373706,1.615598098,1.438449888,1,3.16227766
CG14657,2.11348904,1.77827941,1.885221217,1.910952975,2.886140441,1.972795039,1.646897865,1.887391822,1.32680475,1.389495494,2.189906295,2.341883126,1.668100537,1.31536905,1.730195739,2.11348904,1.496235656,1,2.275845926,2.275845926,1.406527242,1.185971012,2.424462017,2.371373706,2.872984833,2.335721469,1.136463666,1.584893192
opa,1,1,1,1,1.037225095,1,2.511886432,1,1,1,1,1,5.141751828,1,1.056354104,1,1,1,1,1,1,1.089022962,1,1,1,1,1,158.4893192
Gnf1,1.439903321,1.528306733,1.543141664,1.43301257,2.317818181,1.572973157,1.359356391,1.887391822,1.274274986,1.206792641,1.632172129,1.419625896,1.291549665,1.31536905,1.31536905,1.258925412,1.412537545,1,1.389495494,2.096179992,1.531740464,2.15443469,1.304321387,1.615598098,1.333521432,1.128837892,1.895735652,1
Cdep,6.683439176,9.131167633,11.05295141,14.3301257,8.030857221,9.272847442,4.641588834,13.2035178,6.676692939,5.963623317,4.140199576,20.15337686,10.52500285,2.039500469,7.19685673,5.956621435,13.33521432,1.545927736,12.79802214,10,5.994842503,3.300034791,6.422325422,11.00694171,4.216965034,26.36650899,4.641588834,1.584893192
CR45188,1.039122304,1,1.181581733,1.154781985,1,1.038468775,1.039122304,1.04049831,1.041223256,1,1,1.105295141,1,1,1.056354104,1.258925412,1,1,1,1.085711119,1.089022962,1.089022962,1,1,1.100694171,1,1,1
Ubc6,164.6897865,30.67906399,41.99411235,11.54781985,144.1219597,27.70913387,25.11886432,72.78953844,48.32930239,13.89495494,11.02943312,11.62030136,6.309573445,19.30697729,11.78768635,33.49654392,22.38721139,2.389892566,37.2759372,108.5711119,18.16599788,10,14.2510267,31.6227766,26.10157216,12.74274986,8.799225436,6.309573445
CG2016,1920.141939,1,1.181581733,1.036632928,1.075835899,1,1.258925412,1.082636734,4.832930239,71.9685673,1.985511196,1,1.052500285,1,1,8.912509381,1,1.064209244,1.085711119,34.33320018,1,1.185971012,1,1.333521432,1,1,1,1
CG1124,1.019373486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
corto,76.44222743,172.521055,194.919403,67.31703824,268.2695795,47.00360279,73.56422545,48.93900918,4.111829402,12.64855217,17.14125253,12.21677349,59.94842503,15.5051578,8.961505019,74.98942093,66.83439176,1.064209244,26.82695795,2.912632655,215.443469,5.504789808,109.2600861,31.6227766,38.3118685,14.38449888,18.95735652,12.58925412
CG43131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CG12007,2.610157216,3.569698847,2.303132059,2.371373706,2.493592005,2.048686048,2.712272579,3.039195382,1.987218465,2.120950888,2.663985857,1.419625896,1.668100537,3.937658924,1.827699369,2.511886432,2.511886432,1.365007807,2.275845926,5.623413252,2.15443469,1.978318883,1.70125428,2.15443469,2.371373706,1.832980711,1.668100537,1.995262315
dpr16,1.615598098,1.199353946,1.543141664,1.333521432,1.075835899,1.038468775,1.122018454,1.743328822,1.381499962,1.325711366,1.341712835,1.492495545,1.668100537,1.31536905,2.539580038,1.059253725,1.412537545,1.064209244,1.389495494,1.508590709,1.089022962,2.346228848,1,1.333521432,1,11.28837892,1,1.258925412
cno,2.511886432,3.679505646,5.862946646,1.910952975,1.861406687,1.572973157,1.412537545,2.301807313,3.498320936,1.264855217,3.240696036,1.569105606,3.244226079,3.16227766,1.31536905,2.238721139,2.511886432,1.064209244,1.389495494,1.930697729,1.531740464,1.531740464,2.218982341,2.371373706,1.467799268,3.792690191,1.467799268,1.258925412
CG1116,1.920141939,1.35387618,1.263133564,1.485508017,1.441219597,1.404562223,1.359356391,1.32035178,1.438449888,1.206792641,1.800193333,1.492495545,1.165914401,1.930697729,1.389495494,1.678804018,1.412537545,1.132541315,1.77827941,1.77827941,1.531740464,2.15443469,1,1.77827941,3.480700588,1.438449888,1.291549665,1.995262315
CG2604,3.414548874,8.858667904,5.484416576,7.498942093,14.41219597,6.357387571,7.356422545,9.236708572,3.792690191,2.222996483,6.126804781,9.511759691,1.505836354,6.105402297,7.602429141,10.59253725,11.88502227,1.545927736,2.682695795,10,3.913745602,1.406527242,4.124626383,6.189658189,31.6227766,3.359818286,1,2.511886432
CG14664,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.089022962,1,1,1,1,1,1
