"","Gene","KEGG"
"1","Ldh","path:dme00010"
"2","Ldh","path:dme00270"
"3","Ldh","path:dme00620"
"4","Ldh","path:dme00640"
"5","Ldh","path:dme01100"
"6","Pgm2b","path:dme00010"
"7","Pgm2b","path:dme00030"
"8","Pgm2b","path:dme00052"
"9","Pgm2b","path:dme00230"
"10","Pgm2b","path:dme00500"
"11","Pgm2b","path:dme00520"
"12","Pgm2b","path:dme01100"
"13","Pgm2b","path:dme01250"
"14","CG10467","path:dme00010"
"15","CG10467","path:dme00052"
"16","CG10467","path:dme01100"
"17","Pepck2","path:dme00010"
"18","Pepck2","path:dme00020"
"19","Pepck2","path:dme00620"
"20","Pepck2","path:dme01100"
"21","Pepck2","path:dme04068"
"22","CG10996","path:dme00010"
"23","CG10996","path:dme00052"
"24","CG10996","path:dme01100"
"25","Aldh-III","path:dme00010"
"26","Aldh-III","path:dme00340"
"27","Aldh-III","path:dme00350"
"28","Aldh-III","path:dme00360"
"29","Aldh-III","path:dme00410"
"30","Aldh-III","path:dme00980"
"31","Aldh-III","path:dme00982"
"32","Aldh-III","path:dme01100"
"33","CG11249","path:dme00010"
"34","CG11249","path:dme00620"
"35","CG11249","path:dme01100"
"36","CG11249","path:dme01200"
"37","CG11249","path:dme01230"
"38","Pdhb","path:dme00010"
"39","Pdhb","path:dme00020"
"40","Pdhb","path:dme00620"
"41","Pdhb","path:dme00785"
"42","Pdhb","path:dme01100"
"43","Pdhb","path:dme01200"
"44","Gapdh1","path:dme00010"
"45","Gapdh1","path:dme01100"
"46","Gapdh1","path:dme01200"
"47","Gapdh1","path:dme01230"
"48","CG12229","path:dme00010"
"49","CG12229","path:dme00620"
"50","CG12229","path:dme01100"
"51","CG12229","path:dme01200"
"52","CG12229","path:dme01230"
"53","CG13334","path:dme00010"
"54","CG13334","path:dme00270"
"55","CG13334","path:dme00620"
"56","CG13334","path:dme00640"
"57","CG13334","path:dme01100"
"58","G6P","path:dme00010"
"59","G6P","path:dme00052"
"60","G6P","path:dme00500"
"61","G6P","path:dme01100"
"62","G6P","path:dme04068"
"63","Pglym78","path:dme00010"
"64","Pglym78","path:dme00260"
"65","Pglym78","path:dme01100"
"66","Pglym78","path:dme01200"
"67","Pglym78","path:dme01230"
"68","Pglym87","path:dme00010"
"69","Pglym87","path:dme00260"
"70","Pglym87","path:dme01100"
"71","Pglym87","path:dme01200"
"72","Pglym87","path:dme01230"
"73","Eno","path:dme00010"
"74","Eno","path:dme01100"
"75","Eno","path:dme01200"
"76","Eno","path:dme01230"
"77","Eno","path:dme03018"
"78","Pepck1","path:dme00010"
"79","Pepck1","path:dme00020"
"80","Pepck1","path:dme00620"
"81","Pepck1","path:dme01100"
"82","Pepck1","path:dme04068"
"83","Tpi","path:dme00010"
"84","Tpi","path:dme00051"
"85","Tpi","path:dme00562"
"86","Tpi","path:dme01100"
"87","Tpi","path:dme01200"
"88","Tpi","path:dme01230"
"89","CG2767","path:dme00010"
"90","CG2767","path:dme00040"
"91","CG2767","path:dme00053"
"92","CG2767","path:dme00561"
"93","CG2767","path:dme00620"
"94","CG2767","path:dme01100"
"95","CG2767","path:dme01240"
"96","CG2964","path:dme00010"
"97","CG2964","path:dme00620"
"98","CG2964","path:dme01100"
"99","CG2964","path:dme01200"
"100","CG2964","path:dme01230"
"101","Hex-A","path:dme00010"
"102","Hex-A","path:dme00051"
"103","Hex-A","path:dme00052"
"104","Hex-A","path:dme00230"
"105","Hex-A","path:dme00500"
"106","Hex-A","path:dme00520"
"107","Hex-A","path:dme01100"
"108","Hex-A","path:dme01100"
"109","Hex-A","path:dme01200"
"110","Hex-A","path:dme01250"
"111","CG31075","path:dme00010"
"112","CG31075","path:dme00053"
"113","CG31075","path:dme00071"
"114","CG31075","path:dme00280"
"115","CG31075","path:dme00310"
"116","CG31075","path:dme00330"
"117","CG31075","path:dme00340"
"118","CG31075","path:dme00380"
"119","CG31075","path:dme00410"
"120","CG31075","path:dme00561"
"121","CG31075","path:dme00620"
"122","CG31075","path:dme00770"
"123","CG31075","path:dme00981"
"124","CG31075","path:dme01100"
