FBgn,Symbol,Fbab
FBgn0052185,CG30270,FBab0028744
FBgn0031115,His3:CG33842,FBab0028744
FBgn0286051,CG44439,FBab0028744
FBgn0267155,CG3592,FBab0028744
FBgn0050187,Gr64f,FBab0028744
FBgn0264294,lncRNA:CR45971,FBab0028744
FBgn0029870,Ccdc56,FBab0028744
FBgn0037747,CG33510,FBab0028744
FBgn0265187,CG10505,FBab0028744
FBgn0029639,CG33919,FBab0028744
FBgn0263486,lncRNA:CR44875,FBab0028744
FBgn0025878,lncRNA:CR45975,FBab0028744
FBgn0053202,tRNA:Ala-AGC-2-11,FBab0028744
FBgn0260860,CG15333,FBab0028744
FBgn0267643,MED17,FBab0028744
FBgn0265148,CG12680,FBab0028744
FBgn0261353,CG5808,FBab0028744
FBgn0266719,CatB,FBab0028744
FBgn0036940,Plod,FBab0028744
FBgn0051715,sloth2,FBab0028744
FBgn0085319,lncRNA:CR44670,FBab0028744
FBgn0259164,CG11686,FBab0028744
FBgn0029962,CG13442,FBab0028744
FBgn0051347,tRNA:Leu-TAA-2-1,FBab0028744
FBgn0264715,Jon99Ciii,FBab0028744
FBgn0261294,CG14480,FBab0028744
FBgn0033978,lncRNA:CR44721,FBab0028744
FBgn0266775,5SrRNA:CR33426,FBab0028744
FBgn0065097,CG30259,FBab0028744
FBgn0265317,CG10375,FBab0028744
FBgn0036684,lncRNA:CR45967,FBab0028744
FBgn0040028,CG11594,FBab0028744
FBgn0033584,Dad1,FBab0028744
FBgn0028856,vret,FBab0028744
FBgn0040759,CG5290,FBab0028744
FBgn0033951,asRNA:CR44114,FBab0028744
FBgn0267302,TH1,FBab0028744
FBgn0259733,CG13794,FBab0028744
FBgn0264743,CG33340,FBab0028744
FBgn0263381,CG32262,FBab0028744
FBgn0037123,Tom5,FBab0028744
FBgn0052461,norpA,FBab0028744
FBgn0260861,CG32073,FBab0028744
FBgn0034863,lncRNA:CR44376,FBab0028744
FBgn0267314,CG42246,FBab0028744
FBgn0050254,Sugb,FBab0028744
FBgn0043455,lncRNA:CR45443,FBab0028744
FBgn0262372,lncRNA:CR43409,FBab0028744
FBgn0035449,CG42832,FBab0028744
FBgn0052448,CG10651,FBab0028744
FBgn0028407,Arp3,FBab0028744
FBgn0261554,lncRNA:CR45562,FBab0028744
FBgn0034292,CG43707,FBab0028744
FBgn0033594,CG13155,FBab0028744
FBgn0035337,CG33985,FBab0028744
FBgn0263002,CG4766,FBab0028744
FBgn0038453,Tom6,FBab0028744
FBgn0050020,lncRNA:CR46142,FBab0028744
FBgn0052176,CG30392,FBab0028744
FBgn0036143,CG33137,FBab0028744
FBgn0000355,l(3)mbt,FBab0028744
FBgn0030178,CG14507,FBab0028744
