"","Deficiency","FBab..","Est..cytological.location","Chr","Start","End","n","Flies.Cleaned","Median.Survival","MLE","Modifier"
"8947","Df(1)ED6829","FBab0030442","5C7;5F3","X",5901976,6353095,"40","8","14.0","3.5","Strong Suppressor"
"7714","Df(1)Exel6240","FBab0037806","6B2;6C4","X",6543963,6669856,"42","19","13.0","2.5","Suppressor"
"8898","Df(1)ED7170","FBab0030782","11B15;11E8","X",12752602,13277326,"51","0","12.0","2.5","Suppressor"
"8954","Df(1)ED7374","FBab0030985","15A1;15E3","X",16695187,17107632,"48","11","13.0","2.5","Suppressor"
"977","Df(1)DCB1-35b","FBab0000370","19F1;h26","X",21345088,22980721,"49","6","13.0","2.5","Suppressor"
"7723","Df(1)Exel6255","FBab0037820","20A1;20C1","X",21519203,22517665,"35","16","13.0","2.5","Suppressor"
"25062","Df(1)BSC534","FBab0045426","1D1;2A3","X",841105,1453730,"49","5","10.0","1.0","No Effect"
"33829","Df(1)815-6","FBab0026718","13E-13F;h26-h34","X",17103876,17160005,"61","0","9.0","0.0","No Effect"
"26541","Df(2L)BSC689","FBab0045754","30F5;31B1","2L",9984563,10198945,"56","8","11.0","3.5","Strong Suppressor"
"23677","Df(2L)BSC292","FBab0045031","23F6;24A2","2L",3515462,3632008,"36","38","10.0","3.0","Strong Suppressor"
"23680","Df(2L)BSC295","FBab0045032","24D4;24F3","2L",4031318,4455780,"39","24","10.0","3.0","Strong Suppressor"
"26540","Df(2L)BSC688","FBab0045753","22B1;22D6","2L",1736964,2273383,"41","9","10.0","2.5","Suppressor"
"27353","Df(2L)BSC781","FBab0045870","35F1;36A1","2L",16325113,16417726,"46","29","10.0","2.5","Suppressor"
"3548","Df(2L)al","FBab0001692","21C1;21C7","2L",306000,476219,"53","0","9.0","2.0","Suppressor"
"6478","Df(2L)BSC17","FBab0029725","30C3;30F1","2L",9706076,9967228,"47","0","9.0","2.0","Suppressor"
"23662","Df(2L)BSC277","FBab0045028","34A1;34B2","2L",12832803,13257491,"58","10","9.0","2.0","Suppressor"
"23663","Df(2L)BSC278","FBab0045029","35E1;35F1","2L",16025369,16289284,"47","14","9.0","2.0","Suppressor"
"3180","Df(2L)H20","FBab0001470","36A8;36F1","2L",16692000,18359025,"54","0","9.0","2.0","Suppressor"
"26544","Df(2L)BSC692","FBab0045757","23B3;23B7","2L",2830267,2868633,"65","6","9.0","1.5","No Effect"
"27383","Df(2L)BSC812","FBab0045903","34B11;34E1","2L",13421556,13878659,"30","8","9.0","1.5","No Effect"
"24135","Df(2L)ED8142","FBab0041129","31E1;32A4","2L",10413461,10684679,"41","9","8.0","0.5","No Effect"
"24959","Df(2L)BSC455","FBab0045277","22D5;22E1","2L",2242285,2374023,"46","11","7.0","-0.5","No Effect"
"24127","Df(2L)ED489","FBab0032201","27E4;28B1","2L",7204186,7576637,"46","3","7.0","-0.5","No Effect"
"24133","Df(2L)ED690","FBab0032429","30B3;30E4","2L",9437469,9918174,"41","8","7.0","-0.5","No Effect"
"3084","Df(2L)ast2","FBab0001695","21D1;22B3","2L",714983,1704901,"45","1","5.0","-2.0","Enhancer"
"9683","Df(2R)ED1484","FBab0032793","42A2;42A14","2R",5893637,6245428,"52","0","10","1","No Effect"
"7896","Df(2R)Exel7162","FBab0038054","56F11;56F16","2R",20245490,20313635,"38","11","9","1","No Effect"
"24758","Df(2R)ED50004","FBab0045680","60F5;60F5","2R",25225828,25225828,"55","0","10","1","No Effect"
"24379","Df(2R)BSC355","FBab0045170","54B16;54C3","2R",17462347,17536673,"30","2","9","0","No Effect"
"7546","Df(2R)Exel6064","FBab0038002","53C11;53D11","2R",16611633,16829074,"51","0","7","-2","Enhancer"
"6780","Df(2R)14H10W-35","FBab0029927","54E5;55B7","2R",17739916,18118347,"38","0","8","-2","Enhancer"
"997","Df(3L)AC1","FBab0002292","67A2;67D13","3L",9193372,10216770,"58","0.0","10","1","No Effect"
"7413","Df(3R)BSC43","FBab0037760","92F7;93B6","3R",20762299,21112185,"49.0","19","11","2","Suppressor"
"27580","Df(3R)BSC819","FBab0045931","93A2;93B8","3R",20851577,21060603,"47","0","10","2","Suppressor"
"24909","Df(3R)BSC321","FBab0045290","96E6;96E9","3R",25637827,25680519,"33.0","11","10","2","Suppressor"
"9077","Df(3R)ED5330","FBab0036566","85A5;85D1","3R",8669586,9229795,"36","14","11","1","No Effect"
"7675","Df(3R)Exel6196","FBab0038251","95C12;95D8","3R",23922133,24031427,"31.0","20","10","1","No Effect"
"29667","Df(3R)ED6280","FBab0037500","98B6;98B6","3R",27925135,27948760,"65.0","16","10","1","No Effect"
"24142","Df(3R)ED6346","FBab0037564","100A5;100B1","3R",30783562,31048884,"48.0","6","9","1","No Effect"
"8967","Df(3R)ED5147","FBab0036386","82E7;83A1","3R",5087120,5367804,"30","20","10","0","No Effect"
"25019","Df(3R)BSC515","FBab0045361","88F6;89A8","3R",15476612,15964109,"50","0","8","0","No Effect"
"24516","Df(3R)ED50003","FBab0045682","100E1;100E3","3R",31985757,31985757,"39","0","8","0","No Effect"
"1467","Df(3R)P115","FBab0009957","89B7;89E7","3R",16403690,17091532,"48.0","9","8.5","-0.5","No Effect"
"6962","Df(3R)ED2","FBab0029731","91A5;91F1","3R",18399231,19096771,"44.0","7","8","-1","No Effect"
"7680","Df(3R)Exel6201","FBab0038256","96C2;96C4","3R",25137839,25196998,"46.0","5","8","-1","No Effect"
"1990","Df(3R)Tpl10","FBab0002670","83C1;84B2","3R",5758997,6896252,"44.0","10","7","-2","Enhancer"
"24983","Df(3R)BSC479","FBab0045301","86A3;86C7","3R",10265599,10854406,"37","11","6","-2","Enhancer"
"2597","Df(3R)10-65","FBab0002465","81F;81F","3R",1,4208469,"60.0","0","6","-3","Enhancer"
"2234","Df(3R)R133","FBab0009005","99E1;3Rt","3R",30209020,32081330,"N/A","N/A","N/A","N/A","Lethal"
"2155","Df(3R)A113","FBab0002482","100A;100F","3R",30854400,32081330,"N/A","N/A","N/A","N/A","Lethal"
