"","FBgn","Symbol","CG","ensembl","Moderate","Strong","Repress","Lethal","Enhancer","No.Effect"
"FBgn0031361","FBgn0031361","CG17652","CG17652","33353",0,0,0,0,0,1
"FBgn0011274","FBgn0011274","Dif","CG6794","35045",0,0,0,0,0,1
"FBgn0032271","FBgn0032271","CG7329","CG7329","34457",0,1,1,0,0,1
"FBgn0286932","FBgn0286932","CG46429","CG46429","54520437",0,0,0,0,0,1
"FBgn0051380","FBgn0051380","CG31380","CG31380","318701",0,0,0,0,0,1
"FBgn0260932","FBgn0260932","cuff","CG13190","36269",0,0,0,0,0,1
"FBgn0035769","FBgn0035769","CTCF","CG8591","38817",0,0,0,0,0,1
"FBgn0284237","FBgn0284237","CG46321","CG46321","30522410",0,1,1,0,0,1
"FBgn0263323","FBgn0263323","lncRNA:CR43404","CR43404","19836226",0,0,0,0,0,1
"FBgn0263351","FBgn0263351","AP-2mu","CG7057","42642",0,0,0,0,0,1
"FBgn0039726","FBgn0039726","eIF2Balpha","CG7883","43549",0,0,0,0,0,1
"FBgn0004189","FBgn0004189","snRNA:U6:96Ab","CR32867","3772330",0,0,0,0,0,1
"FBgn0275433","FBgn0275433","lncRNA:CR46265","CR46265","26067575",0,0,0,0,0,1
"FBgn0031145","FBgn0031145","Ntf-2","CG1740","33078",1,0,1,0,0,1
"FBgn0267178","FBgn0267178","lncRNA:CR45618","CR45618","19835294",0,0,0,0,0,1
"FBgn0266717","FBgn0266717","Bruce","CG6303","41260",0,0,0,0,1,1
"FBgn0087035","FBgn0087035","AGO2","CG7439","39683",0,1,1,0,0,1
"FBgn0004511","FBgn0004511","dy","CG9355","32130",0,0,0,0,0,1
"FBgn0004593","FBgn0004593","Eig71Ef","CG7599","39707",0,0,0,0,0,1
"FBgn0039489","FBgn0039489","CG5880","CG5880","43268",0,0,0,0,0,1
"FBgn0263339","FBgn0263339","lncRNA:CR43420","CR43420","12798000",0,0,0,0,0,1
"FBgn0266111","FBgn0266111","ana3","CG13162","36341",0,0,0,0,1,1
"FBgn0259482","FBgn0259482","Mob3","CG4946","34372",0,0,0,0,0,1
"FBgn0035793","FBgn0035793","CG7546","CG7546","38844",0,0,0,0,0,1
"FBgn0021967","FBgn0021967","ND-PDSW","CG8844","44228",0,0,0,0,0,1
"FBgn0040737","FBgn0040737","Tango8","CG14503","50210",0,0,0,0,0,1
"FBgn0035504","FBgn0035504","Teh4","CG15003","38501",0,0,0,0,0,1
"FBgn0036058","FBgn0036058","CG6707","CG6707","39168",0,0,0,0,1,1
"FBgn0267619","FBgn0267619","lncRNA:CR45957","CR45957","26067284",0,1,1,0,1,1
"FBgn0015795","FBgn0015795","Rab7","CG5915","42841",0,0,0,0,0,1
"FBgn0036529","FBgn0036529","Pgant8","CG7297","39715",0,0,0,0,0,1
"FBgn0033871","FBgn0033871","CG13339","CG13339","36528",0,0,0,0,0,1
"FBgn0034541","FBgn0034541","CG13437","CG13437","37343",0,0,0,0,0,1
"FBgn0037751","FBgn0037751","topi","CG8484","41199",0,1,1,0,0,1
"FBgn0035515","FBgn0035515","CG14997","CG14997","38514",0,0,0,0,0,1
"FBgn0053644","FBgn0053644","CG33644","CG33644","3772563",0,0,0,0,0,1
"FBgn0033278","FBgn0033278","CG14759","CG14759","35803",1,0,1,0,0,1
"FBgn0041100","FBgn0041100","park","CG10523","40336",0,0,0,0,1,1
"FBgn0033607","FBgn0033607","CG9062","CG9062","36199",0,0,0,0,0,1
"FBgn0063498","FBgn0063498","GstE2","CG17523","37107",0,0,0,0,0,1
"FBgn0000808","FBgn0000808","gd","CG1505","32159",0,0,0,0,0,1
"FBgn0085283","FBgn0085283","CR34254","CR34254","5740610",0,0,0,0,0,1
"FBgn0035636","FBgn0035636","Cralbp","CG10546","38651",0,0,0,0,0,1
"FBgn0267454","FBgn0267454","asRNA:CR45804","CR45804","26067134",0,0,0,0,0,1
"FBgn0030485","FBgn0030485","CG1998","CG1998","32300",0,0,0,0,0,1
"FBgn0085434","FBgn0085434","NaCP60E","CG34405","37981",0,0,0,0,0,1
"FBgn0001965","FBgn0001965","Sos","CG7793","34790",0,1,1,0,1,1
"FBgn0033836","FBgn0033836","CG18278","CG18278","36487",0,0,0,0,0,1
"FBgn0036218","FBgn0036218","Sprn","CG14128","39344",0,1,1,0,0,1
"FBgn0041225","FBgn0041225","Gr94a","CG31280","117339",0,0,0,0,0,1
"FBgn0038356","FBgn0038356","CG12784","CG12784","41903",0,0,0,0,0,1
"FBgn0014007","FBgn0014007","Ptp69D","CG10975","39443",0,0,0,0,0,1
"FBgn0266138","FBgn0266138","lncRNA:CR44844","CR44844","19835407",1,0,1,0,0,1
"FBgn0032147","FBgn0032147","IP3K1","CG4026","34300",1,0,1,0,0,1
"FBgn0265711","FBgn0265711","lncRNA:CR44518","CR44518","19834851",0,0,0,0,0,1
"FBgn0032506","FBgn0032506","CG9395","CG9395","34742",0,0,0,0,0,1
"FBgn0034627","FBgn0034627","eEFSec","CG9841","37444",0,0,0,0,0,1
"FBgn0267758","FBgn0267758","asRNA:CR46089","CR46089","26067406",0,0,0,0,0,1
"FBgn0036237","FBgn0036237","viaf","CG18593","39364",0,1,1,0,0,1
"FBgn0263446","FBgn0263446","asRNA:CR43469","CR43469","12798426",1,0,1,0,0,1
"FBgn0283477","FBgn0283477","SF2","CG6987","53443",0,0,0,0,1,1
"FBgn0264983","FBgn0264983","asRNA:CR44134","CR44134","14462430",0,0,0,0,0,1
"FBgn0022069","FBgn0022069","Nnp-1","CG12396","44391",0,0,0,0,0,1
"FBgn0266346","FBgn0266346","CngB","CG17922","37479",0,0,0,0,0,1
"FBgn0036754","FBgn0036754","CG5589","CG5589","39979",0,0,0,0,1,1
"FBgn0027610","FBgn0027610","Dic1","CG8790","41640",0,1,1,0,0,1
"FBgn0038481","FBgn0038481","CG17475","CG17475","42069",0,0,0,0,0,1
"FBgn0004648","FBgn0004648","svr","CG4122","30998",0,0,0,0,0,1
"FBgn0039740","FBgn0039740","ZIPIC","CG7928","43566",0,0,0,0,0,1
"FBgn0036333","FBgn0036333","MICAL-like","CG11259","39475",0,0,0,0,0,1
"FBgn0260450","FBgn0260450","CalpC","CG3692","32597",1,0,1,0,0,1
"FBgn0267301","FBgn0267301","lncRNA:CR45737","CR45737","19835496",0,0,0,0,0,1
"FBgn0047351","FBgn0047351","CG31468","CG31468","251937",0,0,0,0,0,1
"FBgn0032298","FBgn0032298","CG6724","CG6724","34488",0,1,1,0,0,1
"FBgn0034730","FBgn0034730","ppk12","CG10972","37566",0,0,0,0,1,1
"FBgn0266402","FBgn0266402","asRNA:CR45042","CR45042","19834798",0,0,0,0,1,1
"FBgn0002938","FBgn0002938","ninaC","CG5125","34012",0,0,0,0,0,1
"FBgn0025679","FBgn0025679","Klf15","CG2932","31410",0,0,0,0,0,1
"FBgn0029905","FBgn0029905","Nf-YC","CG3075","31622",0,0,0,0,0,1
"FBgn0000382","FBgn0000382","csw","CG3954","45278",0,0,0,0,0,1
"FBgn0034296","FBgn0034296","CG10912","CG10912","37059",0,0,0,0,0,1
"FBgn0031877","FBgn0031877","Hmgcl","CG10399","33978",0,0,0,0,0,1
"FBgn0053450","FBgn0053450","5SrRNA:CR33450","CR33450","3772673",0,0,0,0,0,1
"FBgn0027492","FBgn0027492","wdb","CG5643","43312",0,0,0,0,0,1
"FBgn0052785","FBgn0052785","tRNA:Gln-CTG-2-1","CR32785","3772526",0,1,1,0,0,1
"FBgn0063374","FBgn0063374","snoRNA:snR38:54Eb","CR32896","3771777",0,0,0,0,0,1
"FBgn0010401","FBgn0010401","Os-C","CG3250","40942",0,0,0,0,0,1
"FBgn0266429","FBgn0266429","AstA-R1","CG2872","44126",0,0,0,0,1,1
"FBgn0039473","FBgn0039473","CG17191","CG17191","43249",0,0,0,0,0,1
"FBgn0267261","FBgn0267261","lncRNA:CR45697","CR45697","19836257",0,0,0,0,0,1
"FBgn0265898","FBgn0265898","lncRNA:CR44687","CR44687","19835132",0,0,0,0,0,1
"FBgn0029754","FBgn0029754","CG15930","CG15930","31446",0,0,0,0,0,1
"FBgn0032002","FBgn0032002","CG8353","CG8353","34123",0,0,0,0,0,1
"FBgn0039637","FBgn0039637","Ctl2","CG11880","43440",0,0,0,0,0,1
"FBgn0288728","FBgn0288728","asRNA:PS4","FBgn0288728","FBgn0288728",1,0,1,0,0,1
"FBgn0050049","FBgn0050049","CG30049","CG30049","246416",0,0,0,0,1,1
"FBgn0011589","FBgn0011589","Elk","CG5076","37047",0,0,0,0,0,1
"FBgn0267591","FBgn0267591","asRNA:CR45929","CR45929","26067257",0,0,0,0,0,1
"FBgn0003655","FBgn0003655","swa","CG3429","31580",0,0,0,0,1,1
"FBgn0039485","FBgn0039485","CG17189","CG17189","43263",0,0,0,0,0,1
"FBgn0267228","FBgn0267228","lncRNA:CR45668","CR45668","19835358",0,0,0,0,1,1
"FBgn0036849","FBgn0036849","CG14079","CG14079","40086",0,0,0,0,0,1
"FBgn0035529","FBgn0035529","Fdx2","CG1319","38530",0,0,0,0,0,1
"FBgn0266465","FBgn0266465","GckIII","CG5169","42064",0,0,0,0,0,1
"FBgn0287212","FBgn0287212","CG46442","CG46442","54520445",0,0,0,0,1,1
"FBgn0036331","FBgn0036331","CR14117","CR14117","39473",0,0,0,0,0,1
"FBgn0062440","FBgn0062440","EMRE","CG17680","37071",0,0,0,0,0,1
"FBgn0039224","FBgn0039224","CG13634","CG13634","42951",0,0,0,0,0,1
"FBgn0034734","FBgn0034734","CG4554","CG4554","37570",0,0,0,0,1,1
"FBgn0033447","FBgn0033447","dila","CG1625","36010",0,0,0,0,0,1
"FBgn0086048","FBgn0086048","snoRNA:Me28S-U3344b","CR34677","5740172",1,0,1,0,0,1
"FBgn0082969","FBgn0082969","snoRNA:Psi28S-3316d","CR34552","5740797",0,0,0,0,0,1
"FBgn0038424","FBgn0038424","CG17565","CG17565","41989",0,0,0,0,1,1
"FBgn0261952","FBgn0261952","srw","CG11582","38525",0,0,0,0,0,1
"FBgn0037424","FBgn0037424","Osi15","CG1157","40771",0,0,0,0,1,1
"FBgn0030780","FBgn0030780","CG13008","CG13008","32654",1,0,1,0,0,1
"FBgn0004167","FBgn0004167","kst","CG12008","38418",0,0,0,0,0,1
"FBgn0265347","FBgn0265347","lncRNA:CR44301","CR44301","19834883",0,0,0,0,0,1
"FBgn0033547","FBgn0033547","CG12935","CG12935","36134",0,0,0,0,0,1
"FBgn0050055","FBgn0050055","lncRNA:CR30055","CR30055","10178803",0,0,0,0,0,1
"FBgn0039494","FBgn0039494","grass","CG5896","43273",0,0,0,0,0,1
"FBgn0050288","FBgn0050288","CG30288","CG30288","246531",0,0,0,0,0,1
"FBgn0034833","FBgn0034833","CG13539","CG13539","37680",0,0,0,0,0,1
"FBgn0001139","FBgn0001139","gro","CG8384","43162",0,0,0,0,1,1
"FBgn0051164","FBgn0051164","Ir94a","CG31164","318610",0,0,0,0,0,1
"FBgn0029724","FBgn0029724","CG15472","CG15472","31409",0,0,0,0,0,1
"FBgn0034655","FBgn0034655","CG10307","CG10307","37477",0,0,0,0,0,1
"FBgn0050423","FBgn0050423","CG30423","CG30423","246605",0,0,0,0,0,1
"FBgn0284255","FBgn0284255","Arpc4","CG5972","33864",0,0,0,0,0,1
"FBgn0054056","FBgn0054056","CG34056","CG34056","38106",0,1,1,0,0,1
"FBgn0026261","FBgn0026261","bonsai","CG4207","37587",0,0,0,0,0,1
"FBgn0033738","FBgn0033738","DUBAI","CG8830","36361",0,0,0,0,1,1
"FBgn0083992","FBgn0083992","Mkp","CG34099","4379907",0,1,1,0,0,1
"FBgn0034451","FBgn0034451","TBCB","CG11242","37244",0,0,0,0,0,1
"FBgn0025640","FBgn0025640","CG13369","CG13369","31007",0,0,0,0,0,1
"FBgn0267062","FBgn0267062","lncRNA:CR45506","CR45506","19835118",1,0,1,0,0,1
"FBgn0034315","FBgn0034315","CG5721","CG5721","37084",0,0,0,0,0,1
"FBgn0010198","FBgn0010198","RpS15Aa","CG2033","44150",0,0,0,0,0,1
"FBgn0263507","FBgn0263507","lncRNA:CR43496","CR43496","12797941",0,0,0,0,0,1
"FBgn0031049","FBgn0031049","Sec61gamma","CG14214","32968",0,0,0,0,0,1
"FBgn0002121","FBgn0002121","l(2)gl","CG2671","33156",0,0,0,0,0,1
"FBgn0032486","FBgn0032486","mRF1","CG5705","34720",1,0,1,0,0,1
"FBgn0262807","FBgn0262807","CG43178","CG43178","13084051",0,0,0,0,0,1
"FBgn0035777","FBgn0035777","CG8563","CG8563","38826",0,0,0,0,0,1
"FBgn0032228","FBgn0032228","CG5367","CG5367","34401",0,1,1,0,0,1
"FBgn0005659","FBgn0005659","Ets98B","CG5583","43334",0,0,0,0,0,1
"FBgn0036204","FBgn0036204","Tim13","CG11611","39327",1,1,1,0,0,1
"FBgn0053452","FBgn0053452","5SrRNA:CR33452","CR33452","3772017",0,0,0,0,0,1
"FBgn0034713","FBgn0034713","CG11291","CG11291","37541",0,0,0,0,1,1
"FBgn0032080","FBgn0032080","CG9525","CG9525","34217",1,0,1,0,0,1
"FBgn0266925","FBgn0266925","asRNA:CR45376","CR45376","19836124",0,0,0,0,1,1
"FBgn0050222","FBgn0050222","CG30222","CG30222","50129",0,0,0,0,0,1
"FBgn0032209","FBgn0032209","Hand","CG18144","34379",0,0,0,0,0,1
"FBgn0039732","FBgn0039732","CG15525","CG15525","43556",0,0,0,0,0,1
"FBgn0265611","FBgn0265611","asRNA:CR44429","CR44429","19834866",0,0,0,0,0,1
"FBgn0050457","FBgn0050457","CG30457","CG30457","36940",0,0,0,0,0,1
"FBgn0014143","FBgn0014143","croc","CG5069","40374",0,0,0,0,1,1
"FBgn0002441","FBgn0002441","l(3)mbt","CG5954","43288",0,0,0,0,0,1
"FBgn0266217","FBgn0266217","lncRNA:CR44912","CR44912","19835130",0,0,0,0,0,1
"FBgn0036836","FBgn0036836","CG11619","CG11619","40072",0,0,0,0,0,1
"FBgn0267315","FBgn0267315","lncRNA:TS16","CR45751","19836031",1,0,1,0,0,1
"FBgn0261586","FBgn0261586","lncRNA:CR42696","CR42696","19836174",1,0,1,0,0,1
"FBgn0033185","FBgn0033185","CG1603","CG1603","35683",1,0,1,0,0,1
"FBgn0261456","FBgn0261456","hpo","CG11228","37247",0,0,0,0,0,1
"FBgn0031872","FBgn0031872","ihog","CG9211","33972",0,0,0,0,0,1
"FBgn0011279","FBgn0011279","Obp69a","CG10436","39411",0,1,1,0,0,1
"FBgn0261526","FBgn0261526","NT1","CG42576","38558",0,0,0,0,0,1
"FBgn0267231","FBgn0267231","lncRNA:CR45671","CR45671","19835299",1,1,1,0,0,1
"FBgn0050005","FBgn0050005","GstT2","CG30005","246386",0,0,0,0,0,1
"FBgn0264392","FBgn0264392","lncRNA:CR43840","CR43840","14462785",1,0,1,0,0,1
"FBgn0050145","FBgn0050145","Obp57e","CG30145","326110",0,0,0,0,1,1
"FBgn0037722","FBgn0037722","CG8319","CG8319","41165",0,0,0,0,0,1
"FBgn0267471","FBgn0267471","lncRNA:CR45821","CR45821","26067149",0,1,1,0,0,1
"FBgn0267023","FBgn0267023","asRNA:CR45467","CR45467","19835646",1,0,1,0,0,1
"FBgn0031418","FBgn0031418","CG3609","CG3609","33421",0,0,0,0,0,1
"FBgn0035019","FBgn0035019","Ir60e","CG13592","37917",0,0,0,0,0,1
"FBgn0267984","FBgn0267984","asRNA:CR46251","CR46251","26067561",0,0,0,0,0,1
"FBgn0034330","FBgn0034330","BomS4","CG18107","37101",0,0,0,0,0,1
"FBgn0035102","FBgn0035102","CG7049","CG7049","38022",0,1,1,0,0,1
"FBgn0037999","FBgn0037999","CG4860","CG4860","41480",0,0,0,0,0,1
"FBgn0085282","FBgn0085282","CG34253","CG34253","5740501",0,0,0,0,1,1
"FBgn0000137","FBgn0000137","ase","CG3258","30985",0,0,0,0,0,1
"FBgn0011754","FBgn0011754","PhKgamma","CG1830","32120",0,0,0,0,0,1
"FBgn0034510","FBgn0034510","CG13426","CG13426","37312",0,0,0,0,1,1
"FBgn0020647","FBgn0020647","KrT95D","CG5405","42843",0,0,0,0,0,1
"FBgn0263911","FBgn0263911","COX8","CG7181","40390",0,1,1,0,1,1
"FBgn0027503","FBgn0027503","CG11970","CG11970","41072",0,0,0,0,0,1
"FBgn0050148","FBgn0050148","CG30148","CG30148","37318",0,0,0,0,1,1
"FBgn0265157","FBgn0265157","lncRNA:CR44226","CR44226","14462511",0,0,0,0,0,1
"FBgn0266968","FBgn0266968","lncRNA:CR45419","CR45419","19835728",0,0,0,0,0,1
"FBgn0052815","FBgn0052815","CG32815","CG32815","318224",0,1,1,0,0,1
"FBgn0267636","FBgn0267636","asRNA:CR45974","CR45974","26067301",0,0,0,0,0,1
"FBgn0050271","FBgn0050271","CG30271","CG30271","246518",0,0,0,0,0,1
"FBgn0032318","FBgn0032318","CG14072","CG14072","34513",0,0,0,0,0,1
"FBgn0267620","FBgn0267620","lncRNA:CR45958","CR45958","26067285",0,1,1,0,0,1
"FBgn0039528","FBgn0039528","dsd","CG5634","43315",0,0,0,0,0,1
"FBgn0035582","FBgn0035582","CG13705","CG13705","38587",0,1,1,0,0,1
"FBgn0267588","FBgn0267588","asRNA:CR45926","CR45926","26067254",0,0,0,0,0,1
"FBgn0266359","FBgn0266359","asRNA:CR45007","CR45007","19836133",1,0,1,0,0,1
"FBgn0036285","FBgn0036285","toe","CG10704","39418",0,0,0,0,0,1
"FBgn0027348","FBgn0027348","bgm","CG4501","44117",0,1,1,0,0,1
"FBgn0040211","FBgn0040211","hgo","CG4779","34552",0,1,1,0,0,1
"FBgn0035207","FBgn0035207","Herc4","CG9153","38151",0,1,1,0,0,1
"FBgn0037627","FBgn0037627","CG13318","CG13318","41048",0,0,0,0,0,1
"FBgn0032615","FBgn0032615","CG6012","CG6012","35022",0,0,0,0,0,1
"FBgn0028741","FBgn0028741","fab1","CG6355","37033",0,0,0,0,0,1
"FBgn0033464","FBgn0033464","CG1441","CG1441","36029",1,0,1,0,0,1
"FBgn0036783","FBgn0036783","CheA75a","CG7313","40011",0,0,0,0,0,1
"FBgn0266993","FBgn0266993","lncRNA:CR45444","CR45444","19835633",0,1,1,0,0,1
"FBgn0031178","FBgn0031178","CG10918","CG10918","33123",1,0,1,0,0,1
"FBgn0263802","FBgn0263802","lncRNA:CR43605","CR43605","12798401",0,0,0,0,0,1
"FBgn0260934","FBgn0260934","par-1","CG8201","2768852",0,0,0,0,0,1
"FBgn0028892","FBgn0028892","CG4161","CG4161","34907",0,0,0,0,0,1
"FBgn0266438","FBgn0266438","PIG-Z","CG45068","19835548",0,0,0,0,0,1
"FBgn0036348","FBgn0036348","CG17687","CG17687","39495",0,0,0,0,0,1
"FBgn0011674","FBgn0011674","insc","CG11312","37355",1,0,1,0,0,1
"FBgn0086033","FBgn0086033","snoRNA:Me28S-A2486","CR34662","5740587",0,0,0,0,0,1
"FBgn0033458","FBgn0033458","Lime","CG18446","36023",0,0,0,0,0,1
"FBgn0031935","FBgn0031935","CG13793","CG13793","34047",0,1,1,0,0,1
"FBgn0261682","FBgn0261682","CG42729","CG42729","3885667",0,1,1,0,0,1
"FBgn0035811","FBgn0035811","Mcad","CG12262","38864",1,0,1,0,0,1
"FBgn0039049","FBgn0039049","CG6726","CG6726","42728",0,0,0,0,0,1
"FBgn0030794","FBgn0030794","CG13005","CG13005","32670",1,0,1,0,0,1
"FBgn0035204","FBgn0035204","CG2277","CG2277","38148",0,1,1,0,0,1
"FBgn0029719","FBgn0029719","CG15473","CG15473","31401",0,0,0,0,1,1
"FBgn0051029","FBgn0051029","CG31029","CG31029","318562",0,0,0,0,0,1
"FBgn0036221","FBgn0036221","CG11588","CG11588","39347",0,1,1,0,0,1
"FBgn0051493","FBgn0051493","CG31493","CG31493","318765",0,0,0,0,0,1
"FBgn0262442","FBgn0262442","mir-2501","CR43005","12798368",0,0,0,0,0,1
"FBgn0031804","FBgn0031804","CG9500","CG9500","33888",0,0,0,0,0,1
"FBgn0023536","FBgn0023536","CG3156","CG3156","30994",0,0,0,0,0,1
"FBgn0039743","FBgn0039743","Jasper","CG7946","43576",0,0,0,0,0,1
"FBgn0039054","FBgn0039054","Cow","CG13830","42733",0,0,0,0,0,1
"FBgn0262382","FBgn0262382","mir-1010","CR42905","12798509",0,0,0,0,0,1
"FBgn0030320","FBgn0030320","CG2247","CG2247","32111",0,0,0,0,0,1
"FBgn0023496","FBgn0023496","Lip1","CG7279","43973",0,1,1,0,0,1
"FBgn0261862","FBgn0261862","whd","CG12891","36109",0,0,0,0,0,1
"FBgn0000259","FBgn0000259","CkIIbeta","CG15224","32132",0,0,0,0,0,1
"FBgn0033867","FBgn0033867","Cpr50Ca","CG13338","36523",0,0,0,0,0,1
"FBgn0003334","FBgn0003334","Scm","CG9495","41168",0,1,1,0,0,1
"FBgn0050377","FBgn0050377","CG30377","CG30377","50252",1,0,1,0,1,1
"FBgn0261536","FBgn0261536","CG42660","CG42660","10178939",0,0,0,0,0,1
"FBgn0033708","FBgn0033708","CG8850","CG8850","36331",0,0,0,0,1,1
"FBgn0035141","FBgn0035141","Cypl","CG13892","38069",0,0,0,0,0,1
"FBgn0063389","FBgn0063389","snoRNA:Me18S-G1620","CR32874","3772137",1,0,1,0,0,1
"FBgn0266866","FBgn0266866","lncRNA:CR45327","CR45327","19836258",0,0,0,0,1,1
"FBgn0004509","FBgn0004509","Fur1","CG10772","47220",0,0,0,0,0,1
"FBgn0267312","FBgn0267312","lncRNA:CR45748","CR45748","19835809",0,0,0,0,0,1
"FBgn0015240","FBgn0015240","Hr96","CG11783","42993",0,1,1,0,0,1
"FBgn0020386","FBgn0020386","Pdk1","CG1210","38017",0,1,1,0,0,1
"FBgn0031559","FBgn0031559","CG3513","CG3513","33590",1,0,1,0,0,1
"FBgn0019928","FBgn0019928","Ser8","CG4812","36489",0,0,0,0,0,1
"FBgn0259203","FBgn0259203","CG42307","CG42307","7354423",0,0,0,0,0,1
"FBgn0085294","FBgn0085294","CG34265","CG34265","5740186",0,0,0,0,0,1
"FBgn0083058","FBgn0083058","snoRNA:Psi18S-1086","CR34633","5740448",0,1,1,0,0,1
"FBgn0286508","FBgn0286508","Had1","CG9914","32592",1,0,1,0,0,1
"FBgn0038149","FBgn0038149","GILT1","CG9796","41650",0,1,1,0,0,1
"FBgn0035499","FBgn0035499","Chd64","CG14996","38490",0,0,0,0,0,1
"FBgn0014011","FBgn0014011","Rac2","CG8556","38831",0,0,0,0,0,1
"FBgn0028570","FBgn0028570","robl22E","CG10838","33412",0,0,0,0,0,1
"FBgn0250871","FBgn0250871","pot","CG2467","32154",0,0,0,0,0,1
"FBgn0011669","FBgn0011669","Mst57Db","CG5016","43122",0,0,0,0,0,1
"FBgn0015571","FBgn0015571","alpha-Est3","CG1257","40907",0,0,0,0,0,1
"FBgn0017581","FBgn0017581","Lk6","CG17342","44672",0,0,0,0,0,1
"FBgn0035477","FBgn0035477","CG14982","CG14982","38464",0,0,0,0,1,1
"FBgn0032253","FBgn0032253","LManI","CG5322","34436",0,0,0,0,0,1
"FBgn0051526","FBgn0051526","lncRNA:CR31526","CR31526","318783",0,0,0,0,0,1
"FBgn0287632","FBgn0287632","CG46492","FBgn0287632","FBgn0287632",0,0,0,0,0,1
"FBgn0063924","FBgn0063924","Kaz1-ORFA","CR33790","10178868",0,1,1,0,0,1
"FBgn0062442","FBgn0062442","Cisd2","CG1458","43459",0,0,0,0,0,1
"FBgn0085329","FBgn0085329","CG34300","CG34300","5740334",0,1,1,0,0,1
"FBgn0034785","FBgn0034785","CG3649","CG3649","37626",0,0,0,0,0,1
"FBgn0265443","FBgn0265443","lncRNA:CR44343","CR44343","19836152",0,0,0,0,0,1
"FBgn0053410","FBgn0053410","5SrRNA:CR33410","CR33410","3771839",0,0,0,0,0,1
"FBgn0038418","FBgn0038418","pad","CG10309","41981",0,0,0,0,1,1
"FBgn0025578","FBgn0025578","Lcp9","CG16914","37963",0,0,0,0,0,1
"FBgn0265414","FBgn0265414","lncRNA:CR44326","CR44326","19835512",0,0,0,0,0,1
"FBgn0052086","FBgn0052086","CG32086","CG32086","326195",1,0,1,0,0,1
"FBgn0032601","FBgn0032601","yellow-b","CG17914","35005",0,0,0,0,0,1
"FBgn0010520","FBgn0010520","Bka","CG4539","46032",1,0,1,0,0,1
"FBgn0266766","FBgn0266766","lncRNA:CR45231","CR45231","19835623",0,0,0,0,0,1
"FBgn0266380","FBgn0266380","lncRNA:CR45022","CR45022","19835028",0,0,0,0,0,1
"FBgn0037617","FBgn0037617","nom","CG8145","41038",0,0,0,0,0,1
"FBgn0037493","FBgn0037493","CR10032","CR10032","40877",0,0,0,0,0,1
"FBgn0001087","FBgn0001087","g","CG10986","44819",0,0,0,0,0,1
"FBgn0037921","FBgn0037921","CG6808","CG6808","41394",0,0,0,0,0,1
"FBgn0027836","FBgn0027836","Dgp-1","CG5729","37080",0,0,0,0,0,1
"FBgn0262873","FBgn0262873","Diedel2","CG43228","12798297",0,0,0,0,0,1
"FBgn0050181","FBgn0050181","ppk3","CG30181","246504",0,0,0,0,0,1
"FBgn0263532","FBgn0263532","mir-4962","CR43517","12798103",0,0,0,0,1,1
"FBgn0266773","FBgn0266773","lncRNA:CR45238","CR45238","19836126",0,0,0,0,0,1
"FBgn0266672","FBgn0266672","Sec8","CG2095","40712",0,0,0,0,1,1
"FBgn0286007","FBgn0286007","mir-281-2","CR42975","12798417",0,0,0,0,0,1
"FBgn0030600","FBgn0030600","hiw","CG32592","32429",0,1,1,0,0,1
"FBgn0267260","FBgn0267260","lncRNA:CR45696","CR45696","19835775",0,0,0,0,0,1
"FBgn0011661","FBgn0011661","Moe","CG10701","31816",0,0,0,0,0,1
"FBgn0033206","FBgn0033206","DCTN4-p62","CG12042","35709",1,0,1,0,0,1
"FBgn0011888","FBgn0011888","tRNA:Lys-CTT-1-3","CR30516","3772622",0,0,0,0,0,1
"FBgn0022764","FBgn0022764","Sin3A","CG8815","36382",0,0,0,0,0,1
"FBgn0051044","FBgn0051044","lncRNA:CR31044","CR31044","10178917",0,0,0,0,0,1
"FBgn0053433","FBgn0053433","5SrRNA:CR33433","CR33433","3771982",0,0,0,0,0,1
"FBgn0036850","FBgn0036850","Gem2","CG10419","40087",0,0,0,0,0,1
"FBgn0039739","FBgn0039739","RpS28a","CG15527","43564",0,0,0,0,0,1
"FBgn0004592","FBgn0004592","Eig71Ee","CG7604","39706",0,0,0,0,0,1
"FBgn0038001","FBgn0038001","CG17404","CG17404","41482",0,0,0,0,0,1
"FBgn0259956","FBgn0259956","Sfp24C1","CG42466","8674059",1,0,1,0,0,1
"FBgn0033791","FBgn0033791","Drl-2","CG3915","36436",0,0,0,0,0,1
"FBgn0038665","FBgn0038665","euc","CG12269","42271",0,0,0,0,0,1
"FBgn0266022","FBgn0266022","lncRNA:CR44787","CR44787","19835400",1,0,1,0,0,1
"FBgn0033969","FBgn0033969","Pgm2b","CG10202","36649",0,0,0,0,0,1
"FBgn0028494","FBgn0028494","CG6424","CG6424","37012",0,0,0,0,0,1
"FBgn0261537","FBgn0261537","CG42661","CG42661","10178846",0,0,0,0,0,1
"FBgn0014427","FBgn0014427","CG11899","CG11899","46391",0,0,0,0,0,1
"FBgn0014133","FBgn0014133","bif","CG1822","32119",0,0,0,0,0,1
"FBgn0033127","FBgn0033127","Tsp42Ef","CG12845","35615",1,0,1,0,0,1
"FBgn0039059","FBgn0039059","CG13829","CG13829","42740",0,0,0,0,0,1
"FBgn0034914","FBgn0034914","CG5554","CG5554","37775",0,0,0,0,0,1
"FBgn0250826","FBgn0250826","CG34160","CG34160","5740175",0,1,1,0,0,1
