"","KEGG","GRxWT.C","GRxWT.Df","GRxWT.OE","GR.CxDf","WT.CxDf","GR.CxOE","WT.CxOE"
"1,3-bisphospho-D-glycerate","C00236",NA,NA,NA,NA,0.952231297765029,NA,NA
"1-methylnicotinamide+","C02918",NA,NA,NA,NA,NA,NA,NA
"1-phenylethylamine","C02455",NA,NA,NA,NA,NA,NA,NA
"2- / 3-phosphoglycerate","C00631 / C00197",0.640771422927248,0.963907590244886,1.51194373116637,1.40603752497047,0.934683650883526,1.23839186405359,0.524838392139759
"2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine","C04640",0.321738276142188,1.30490677189124,0.720358918467039,3.24970998554922,0.801249645748491,1.40213970913378,0.626246168905941
"2,3-bisphospho-D-glycerate","C01159-C03339",0.412484350863386,0.812999342802031,0.643234148881145,1.48935999667178,0.755643527720107,1.64756265879769,1.05652632871407
"2-aminobutanoate / 2-/3-aminoisobutanoate","C02261 / C03665 / C05145",0.931375179838991,1.01622834039606,0.982221971822881,1.35625158796393,1.24300712392504,0.979709109676003,0.928992401301045
"2-HG","C02630",0.698134099766097,0.892501904637209,0.84252686914443,1.22095050189501,0.955053625175088,1.09922108520436,0.910835904310501
"2-hydroxybutanoic acid","C05984",1.56591514417786,1.18526700861274,0.78414358502025,0.923940710582044,1.22066398584421,0.730913530163686,1.45961605480488
"2-keto-3-deoxy-d-gluconic acid","C01216",0.69109705671792,0.875744437828783,1.15963265441903,0.995713208334384,0.785770868635066,1.33319992262093,0.794536562099043
"2-keto-isovaleric acid","C00141",1.29204461112808,1.81460759745807,1.24941983975574,1.33698741426095,0.951967459059342,0.89719585520418,0.927804275998722
"2-ketovaleric acid","C06255",0.783995933421681,NA,1.07580290275486,NA,0.739878972453235,1.59117476276396,1.15957536475844
"2-oxoadipic acid","C00322",0.368900179183582,1.00751173343939,0.920935023342681,0.689344842198141,0.252403448382738,1.45381307844059,0.582355857408417
"2-oxobutanoic acid","C00109",NA,NA,NA,NA,NA,NA,NA
"3- / 4-hydroxyphenylacetic acid","C05593 / C00642",3.08170202399188,1.11246234575309,1.16493910562021,0.389881905875774,1.08003642823687,0.521999746207912,1.38088563312134
"3- / 7-methylguanine","C02230 / C02242",0.788645582696808,0.525001370583649,0.621240931659547,0.760499694110844,1.14240601645673,0.749273370005252,0.95117868667872
"3,4-dihydroxymandelic acid","C05580",NA,NA,NA,NA,NA,NA,NA
"3,4-dihydroxyphenylpropanoate","C10447",NA,NA,NA,NA,NA,NA,NA
"3-hydroxy-anthranilic acid","C00632",1.04386271348971,0.815781663712641,0.751543038197335,1.04677720414886,1.33944134974686,0.798479136159147,1.10905504458569
"3-hydroxybutanoic acid","C01089",NA,NA,NA,NA,NA,NA,NA
"3-hydroxykynurenine","C02794",0.49479853201532,0.509901983267118,0.227600426032674,1.13566038597056,1.10202178121715,0.665179626090638,1.44608649576472
"3-hydroxypropanoic acid","C01013",0.856195995583657,0.574470806299304,1.00834982216149,0.820550934339909,1.22295583422254,1.48250344473137,1.25880273385391
"3-methoxytyramine","C05587",1.00220220905425,0.839409989888087,1.37476883122524,0.93555298251558,1.11699083530018,1.61539180937834,1.17761561294946
"3-phosphohydroxypyruvic acid","C03232",0.851123013911222,1.61413205739672,1.76154643970036,1.73123680246766,0.912871706102386,1.30171146126919,0.628945429532175
"3-phospho-serine","C01005",0.119227362816795,0.23752575843176,0.18379622479995,1.80356688971074,0.90531033494491,0.86711646755641,0.562492563676387
