,Genotype,Age,Sex,Section,Replicate,Group
A3FA1,A4V,3,F,Abdomen,1,A3FA
A3FA2,A4V,3,F,Abdomen,2,A3FA
A3FA3,A4V,3,F,Abdomen,3,A3FA
A3FH1,A4V,3,F,Head,1,A3FH
A3FH2,A4V,3,F,Head,2,A3FH
A3FH3,A4V,3,F,Head,3,A3FH
A3FT1,A4V,3,F,Thorax,1,A3FT
A3FT2,A4V,3,F,Thorax,2,A3FT
A3FT3,A4V,3,F,Thorax,3,A3FT
A3MA1,A4V,3,M,Abdomen,1,A3MA
A3MA2,A4V,3,M,Abdomen,2,A3MA
A3MA3,A4V,3,M,Abdomen,3,A3MA
A3MH1,A4V,3,M,Head,1,A3MH
A3MH2,A4V,3,M,Head,2,A3MH
A3MH3,A4V,3,M,Head,3,A3MH
A3MT1,A4V,3,M,Thorax,1,A3MT
A3MT2,A4V,3,M,Thorax,2,A3MT
A3MT3,A4V,3,M,Thorax,3,A3MT
A40FA1,A4V,40,F,Abdomen,1,A40FA
A40FA2,A4V,40,F,Abdomen,2,A40FA
A40FA3,A4V,40,F,Abdomen,3,A40FA
A40FH1,A4V,40,F,Head,1,A40FH
A40FH2,A4V,40,F,Head,2,A40FH
A40FH3,A4V,40,F,Head,3,A40FH
A40FT1,A4V,40,F,Thorax,1,A40FT
A40FT2,A4V,40,F,Thorax,2,A40FT
A40FT3,A4V,40,F,Thorax,3,A40FT
A9FA1,A4V,9,F,Abdomen,1,A9FA
A9FA2,A4V,9,F,Abdomen,2,A9FA
A9FA3,A4V,9,F,Abdomen,3,A9FA
A9FH1,A4V,9,F,Head,1,A9FH
A9FH2,A4V,9,F,Head,2,A9FH
A9FH3,A4V,9,F,Head,3,A9FH
A9FT1,A4V,9,F,Thorax,1,A9FT
A9FT2,A4V,9,F,Thorax,2,A9FT
A9FT3,A4V,9,F,Thorax,3,A9FT
A9MA1,A4V,9,M,Abdomen,1,A9MA
A9MA2,A4V,9,M,Abdomen,2,A9MA
A9MA3,A4V,9,M,Abdomen,3,A9MA
A9MH1,A4V,9,M,Head,1,A9MH
A9MH2,A4V,9,M,Head,2,A9MH
A9MH3,A4V,9,M,Head,3,A9MH
A9MT1,A4V,9,M,Thorax,1,A9MT
A9MT2,A4V,9,M,Thorax,2,A9MT
A9MT3,A4V,9,M,Thorax,3,A9MT
S3FA1,Silent,3,F,Abdomen,1,S3FA
S3FA2,Silent,3,F,Abdomen,2,S3FA
S3FA3,Silent,3,F,Abdomen,3,S3FA
S3FH1,Silent,3,F,Head,1,S3FH
S3FH2,Silent,3,F,Head,2,S3FH
S3FH3,Silent,3,F,Head,3,S3FH
S3FT1,Silent,3,F,Thorax,1,S3FT
S3FT2,Silent,3,F,Thorax,2,S3FT
S3FT3,Silent,3,F,Thorax,3,S3FT
S3MA1,Silent,3,M,Abdomen,1,S3MA
S3MA2,Silent,3,M,Abdomen,2,S3MA
S3MA3,Silent,3,M,Abdomen,3,S3MA
S3MH1,Silent,3,M,Head,1,S3MH
S3MH2,Silent,3,M,Head,2,S3MH
S3MH3,Silent,3,M,Head,3,S3MH
S3MT1,Silent,3,M,Thorax,1,S3MT
S3MT2,Silent,3,M,Thorax,2,S3MT
S3MT3,Silent,3,M,Thorax,3,S3MT
S40FA1,Silent,40,F,Abdomen,1,S40FA
S40FA2,Silent,40,F,Abdomen,2,S40FA
S40FA3,Silent,40,F,Abdomen,3,S40FA
S40FH1,Silent,40,F,Head,1,S40FH
S40FH2,Silent,40,F,Head,2,S40FH
S40FH3,Silent,40,F,Head,3,S40FH
S40FT1,Silent,40,F,Thorax,1,S40FT
S40FT2,Silent,40,F,Thorax,2,S40FT
S40FT3,Silent,40,F,Thorax,3,S40FT
S9FA1,Silent,9,F,Abdomen,1,S9FA
S9FA2,Silent,9,F,Abdomen,2,S9FA
S9FA3,Silent,9,F,Abdomen,3,S9FA
S9FH1,Silent,9,F,Head,1,S9FH
S9FH2,Silent,9,F,Head,2,S9FH
S9FH3,Silent,9,F,Head,3,S9FH
S9FT1,Silent,9,F,Thorax,1,S9FT
S9FT2,Silent,9,F,Thorax,2,S9FT
S9FT3,Silent,9,F,Thorax,3,S9FT
S9MA1,Silent,9,M,Abdomen,1,S9MA
S9MA2,Silent,9,M,Abdomen,2,S9MA
S9MA3,Silent,9,M,Abdomen,3,S9MA
S9MH1,Silent,9,M,Head,1,S9MH
S9MH2,Silent,9,M,Head,2,S9MH
S9MH3,Silent,9,M,Head,3,S9MH
S9MT1,Silent,9,M,Thorax,1,S9MT
S9MT2,Silent,9,M,Thorax,2,S9MT
S9MT3,Silent,9,M,Thorax,3,S9MT
